ID,agestrat,ADPscoreP,ADPscoreP_SS
101001,108,41,118
101002,78,38,126
101003,32,23,115
101004,204,41,100
101005,156,41,102
101006,156,41,102
101007,36,29,143
101008,48,24,96
101009,84,36,111
101010,120,40,107
101011,156,41,102
101012,156,41,102
101013,36,17,82
101014,78,30,93
101015,60,24,82
101017,32,20,100
101018,78,41,139
101019,48,41,160
101020,120,41,112
101021,96,39,114
101022,156,41,102
101023,72,37,131
101024,72,27,87
101025,54,28,110
101026,156,41,102
101027,48,27,112
101028,12,8,103
101029,60,33,127
101030,96,39,114
101031,60,31,117
101032,96,41,124
101033,32,15,81
101034,60,26,91
101035,120,41,112
101036,48,22,89
101037,60,41,160
101038,84,40,126
101039,42,24,102
101040,24,14,89
101042,28,21,114
101043,60,35,138
101044,2,3,102
101045,78,39,128
101046,24,16,97
101047,72,31,100
101048,28,27,148
101049,32,18,92
101050,60,29,107
101051,28,22,119
102001,72,28,91
102002,24,10,73
102006,32,10,61
102010,96,31,88
102011,96,36,104
102012,204,41,100
102013,204,41,100
102014,204,41,100
102015,156,41,102
102016,204,41,100
102017,156,41,102
102018,132,41,106
102019,204,41,100
102020,156,41,102
102021,156,41,102
102022,156,41,102
102023,16,8,84
102024,156,41,102
102025,204,41,100
102026,156,41,102
102027,156,41,102
102028,204,41,100
102029,28,10,67
102030,204,41,100
102031,204,41,100
102032,156,41,102
102033,0,1,96
102034,156,41,102
102035,156,41,102
102036,12,7,97
102037,24,11,77
102038,204,41,100
102039,204,41,100
102040,156,41,102
105001,36,17,82
105002,48,16,68
105006,54,19,71
105008,36,26,122
105010,54,12,46
105012,48,14,61
105013,42,17,76
105014,42,15,69
105020,48,20,82
105022,156,34,85
105027,204,36,90
105033,66,41,155
105034,72,33,111
105035,72,25,74
105042,42,9,48
105043,66,27,90
109001,204,39,95
109004,108,38,105
109005,60,38,151
109006,28,25,135
109007,72,30,97
109008,42,22,94
109009,36,22,101
109011,156,39,96
109012,120,40,107
109013,16,9,91
109015,120,39,101
109016,96,39,114
109017,156,41,102
109018,42,26,113
109019,78,37,123
109020,78,38,126
109021,96,39,114
109022,32,27,139
109023,120,37,98
109024,156,41,102
109026,66,31,109
109028,4,5,109
109029,132,41,106
109032,14,9,101
109033,72,39,136
109034,132,41,106
109035,36,27,130
109036,204,41,100
109038,54,22,81
109039,204,41,100
109040,204,41,100
109041,156,41,102
109042,120,38,100
109043,84,36,111
109044,156,38,95
109045,156,36,91
109059,14,7,87
109060,48,31,135
109061,96,40,119
109062,156,40,98
109064,72,29,94
109065,96,34,96
109066,48,25,99
109087,32,15,81
116001,24,21,123
116002,36,21,97
116003,36,22,101
116004,36,22,101
116005,22,7,63
116006,32,22,110
116007,14,14,127
116008,42,23,98
116009,14,7,87
116010,28,17,95
116011,132,37,95
116012,0,7,126
116013,10,7,104
116014,28,19,104
116015,132,40,101
116016,132,41,106
116017,42,22,94
116018,12,7,97
116019,20,11,90
116020,32,21,105
116021,132,41,106
116022,132,41,106
116023,156,41,102
116024,108,35,96
116025,66,34,124
116026,32,17,88
116027,28,15,87
116028,6,2,84
116029,156,41,102
116030,204,41,100
116031,12,7,97
116032,156,41,102
116033,12,7,97
116034,156,41,102
116035,156,41,102
116036,66,29,99
116037,132,41,106
116038,8,7,110
116040,132,41,106
118001,66,25,81
118002,32,20,100
118003,156,41,102
118004,132,41,106
118005,2,3,102
118006,48,28,119
118007,156,40,98
118008,132,39,98
118009,42,22,94
118010,120,41,112
118011,78,35,113
118012,66,33,119
118014,4,4,103
118015,2,2,95
118016,96,32,91
118017,66,26,84
118018,36,18,86
118019,2,2,95
120009,156,41,102
120010,204,41,100
120011,36,25,117
120012,54,27,103
120013,10,7,104
120014,16,9,91
120015,42,24,102
120016,32,16,84
120017,48,39,160
120018,60,35,138
120019,84,41,131
120020,84,37,116
120022,18,7,69
120023,78,34,108
120024,108,41,118
120025,132,39,98
120026,18,14,112
120027,72,40,142
120028,108,38,105
120029,48,21,85
120030,72,31,100
120031,60,24,82
120032,60,29,107
120033,66,28,96
120034,20,9,77
120035,60,27,96
120037,10,6,98
120038,72,35,121
120041,0,2,103
120042,54,21,77
120043,108,41,118
120044,108,41,118
120045,132,41,106
120046,96,40,119
120047,132,41,106
120048,28,22,119
120049,54,29,115
120050,72,35,121
120051,108,41,118
120052,32,24,121
120053,60,30,112
120055,60,32,122
120057,84,31,91
120058,108,34,93
120063,6,6,109
120064,48,28,119
120065,72,34,116
120066,132,41,106
120069,8,4,93
120070,78,33,103
120071,120,40,107
120072,132,40,101
127001,18,10,86
127002,132,41,106
127003,2,4,107
127004,78,35,113
127005,6,4,99
127006,36,29,143
127007,54,31,126
127008,14,15,133
127010,0,6,121
127011,66,24,76
127012,18,11,96
127013,12,9,108
127014,42,28,128
127015,48,25,99
127016,66,32,114
127017,42,25,108
127018,4,4,103
127019,24,13,85
127020,32,24,121
127021,24,14,89
127022,84,35,106
127023,120,39,101
127024,54,30,121
127025,20,13,99
127026,6,2,84
127027,24,11,77
127028,42,26,113
127029,66,32,114
127030,10,6,98
127031,48,21,85
127032,42,27,121
127033,78,37,123
127034,132,41,106
127035,84,33,97
127036,10,8,109
127037,10,11,125
127038,24,15,93
127039,2,3,102
127040,14,12,117
127041,6,5,104
127042,0,2,103
136001,132,41,106
136002,6,5,104
136003,14,8,94
136004,132,41,106
136005,120,38,100
136008,8,6,104
136011,60,32,122
136012,2,2,95
