ID,agestrat,COGscoreT,COGscoreT_SS
101001,108,41,109
101002,78,39,128
101003,32,19,106
101004,204,42,103
101005,156,42,103
101006,156,42,103
101007,36,20,104
101009,84,40,123
101010,120,41,100
101011,156,42,103
101012,156,42,103
101015,60,31,117
101017,32,23,120
101018,72,36,121
101019,48,26,113
101021,96,36,93
101023,72,37,127
101024,72,32,99
101025,54,27,109
101026,156,42,103
101027,54,26,104
101029,60,29,107
101030,96,38,99
101031,60,24,91
101032,96,39,104
101033,32,18,103
101034,60,22,85
101035,120,42,109
101036,48,27,118
101037,60,31,117
101039,42,20,98
101040,24,16,102
102001,72,32,99
102002,24,13,95
102006,32,13,90
102009,72,24,77
102010,96,28,70
102011,96,41,119
102012,204,42,103
102013,204,42,103
102014,204,42,103
102015,156,42,103
102016,204,42,103
102017,156,42,103
102018,132,42,104
102019,204,42,103
102020,156,42,103
102021,156,42,103
102022,156,42,103
102024,156,42,103
102025,204,42,103
102026,156,42,103
102027,156,42,103
102028,204,42,103
102029,28,13,93
102030,204,42,103
102031,204,42,103
102032,156,42,103
102034,156,42,103
102035,156,42,103
102038,204,42,103
102039,204,42,103
102040,156,42,103
104001,156,42,103
104002,132,41,98
104004,72,36,121
104005,48,18,88
104017,84,40,123
104023,96,41,119
104024,60,34,132
104025,60,34,132
104026,156,40,95
105001,36,6,68
105002,48,16,83
105006,54,12,66
105008,36,10,78
105010,54,11,63
105012,48,23,101
105013,42,15,86
105014,42,10,73
105020,48,16,83
105022,156,42,103
105027,204,35,78
105030,204,38,88
105033,66,28,95
105034,72,27,86
105035,72,27,86
105042,42,16,88
105043,66,27,92
107001,204,42,103
107002,204,41,98
107003,156,42,103
107004,132,40,95
107005,156,38,88
107006,132,42,104
107007,156,42,103
107008,78,32,93
107010,156,42,103
107011,204,42,103
107012,204,42,103
107013,204,42,103
107014,156,42,103
107015,204,40,94
107016,132,41,98
107017,156,38,88
107018,156,39,91
107019,120,41,100
107020,108,42,118
107021,72,30,94
107022,156,42,103
107023,156,42,103
107024,156,42,103
107025,156,42,103
107026,132,42,104
107027,132,42,104
107028,156,42,103
107029,156,42,103
107030,132,42,104
107031,156,42,103
107032,132,42,104
107033,156,42,103
107034,24,20,115
107035,32,23,120
107036,72,31,96
107037,60,35,136
107038,132,36,83
107039,84,38,109
107040,132,42,104
107041,132,42,104
107042,132,42,104
107044,156,42,103
107045,156,42,103
