PHYscore,ADPscore,SOCscore,COGscore,COMscore,TOTALscore,PHYscoreP,ADPscoreP,SOCscoreP,COGscoreP,COMscoreP,TOTALscoreP,PHYscoreT,ADPscoreT,SOCscoreT,COGscoreT,COMscoreT,TOTALscoreT,PHYscoreCR,ADPscoreCR,SOCscoreCR,COGscoreCR,COMscoreCR,TOTALscoreCR,ID,agestrat
37,41,36,42,34,190,37,41,36,42,34,190,34,38,35,42,31,180,28,21,23,27,24,123,102012,204
37,41,36,42,34,190,37,41,36,42,34,190,34,38,35,42,31,180,30,27,23,30,27,137,102013,204
37,41,36,42,34,190,37,41,36,42,34,190,34,38,35,42,31,180,14,11,10,11,11,57,102014,204
37,41,36,42,34,190,37,41,36,42,34,190,34,38,35,42,31,180,33,30,31,41,28,163,102019,204
37,41,36,42,34,190, , , , , , , , , , , , ,19,15,12,9,9,64,104027,204
34,36,21,30,24,145,34,36,24,29,25,148,34,35,32,35,31,167,24,23,12,16,20,95,105027,204
35,32,26,33,29,155, , , , , , ,34,37,28,38,26,163,25,26,18,26,23,118,105030,204
37,37,33,42,33,182, , , , , , ,34,38,35,42,29,178,37,36,28,35,28,164,107001,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180,27,25,18,27,23,120,107009,204
37,41,35,42,34,189, , , , , , ,34,38,35,40,31,178,36,35,23,35,25,154,107015,204
36,41,36,42,34,189, , , , , , ,34,38,34,42,30,178,37,27,8,33,25,130,107060,204
37,36,32,42,34,181,35,39,35,41,33,183,29,34,27,41,30,161,24,22,18,24,21,109,109001,204
37,41,36,42,34,190,37,41,32,42,33,185,34,38,35,42,31,180, , , , , , ,109039,204
37,41,34,42,34,188, , , , , , ,34,38,35,42,31,180, , , , , , ,109058,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,109071,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,112037,204
35,41,34,42,34,186, , , , , , , , , , , , , , , , , , ,113003,204
36,39,36,42,34,187, , , , , , , , , , , , , , , , , , ,115014,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,116047,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,116052,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,116053,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,116064,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,116065,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,116074,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,116075,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,116076,204
37,41,36,42,34,190, , , , , , ,34,38,35,42,31,180, , , , , , ,123066,204
37,41,36,42,34,190, , , , , , , , , , , , , , , , , , ,135016,204
37,41,36,42,34,190, , , , , , , , , , , , , , , , , , ,135018,204
35,40,34,42,33,184, , , , , , , , , , , , , , , , , , ,135025,204
37,41,35,42,34,189, , , , , , , , , , , , , , , , , , ,138006,204
37,41,33,42,34,187,37,41,36,42,34,190,34,38,35,42,31,180, , , , , , ,154001,204
37,41,36,40,34,188,34,39,33,42,30,178, , , , , , , , , , , , ,154004,204
37,41,36,42,34,190,37,41,36,42,34,190,34,38,35,42,31,180, , , , , , ,154007,204
37,41,35,41,34,188,37,41,34,42,34,188, , , , , , , , , , , , ,154008,204
36,41,36,42,34,189,37,41,36,42,34,190, , , , , , , , , , , , ,154011,204
37,41,36,42,34,190,33,35,32,42,32,174, , , , , , , , , , , , ,154012,204
37,41,36,42,33,189,37,41,36,42,34,190, , , , , , , , , , , , ,154013,204
37,41,36,42,34,190,37,41,36,42,34,190,34,38,35,42,31,180, , , , , , ,154014,204
37,41,36,42,34,190,37,41,36,42,34,190, , , , , , , , , , , , ,154015,204
37,40,36,42,34,189,37,41,36,42,34,190, , , , , , , , , , , , ,154016,204
