ID,agestrat,COMscoreCR
102004,0,17
102008,0,34
102033,0,28
101044,2,21
104012,2,16
104011,4,24
104019,6,24
104031,6,27
101028,12,14
102036,12,6
101041,14,20
102007,14,22
104021,14,31
108018,14,34
102005,16,28
102023,16,25
104022,16,21
104029,16,6
108005,16,21
108006,16,32
108021,16,34
107050,20,26
108034,20,13
102003,22,9
101040,24,25
101046,24,30
102002,24,19
102037,24,23
104052,24,21
104053,24,28
107034,24,25
107051,24,31
108022,24,34
108024,24,34
101042,28,7
101048,28,20
101051,28,18
102029,28,5
104016,28,7
108017,28,34
108026,28,25
108029,28,19
109006,28,14
101003,32,20
101017,32,22
101033,32,26
101049,32,14
102006,32,29
107035,32,22
108004,32,29
101007,36,20
101013,36,14
104007,36,19
104015,36,20
104018,36,7
105001,36,24
105008,36,14
109009,36,8
101039,42,14
105013,42,22
105014,42,25
105042,42,23
107049,42,21
109008,42,18
101008,48,17
101019,48,20
101027,48,24
101036,48,16
104028,48,19
105002,48,20
105012,48,23
105020,48,23
108033,48,28
108038,48,29
101025,54,20
104003,54,20
104040,54,27
105006,54,22
105010,54,22
107046,54,29
108015,54,30
101015,60,30
101029,60,28
101031,60,32
101034,60,26
101037,60,5
101043,60,21
101050,60,27
104005,60,11
104024,60,20
104025,60,16
107037,60,30
107048,60,30
108009,60,32
108010,60,34
108025,60,29
108031,60,17
109005,60,16
104006,66,20
104030,66,20
105033,66,19
105043,66,21
101023,72,22
101024,72,34
101047,72,23
102001,72,31
102009,72,9
104004,72,20
105034,72,25
105035,72,32
107021,72,25
107036,72,32
108016,72,34
109007,72,11
101002,78,19
101018,78,21
101045,78,16
104014,78,27
107008,78,12
107052,78,17
108007,78,32
108037,78,29
109003,78,22
101009,84,18
101014,84,10
101038,84,16
104017,84,23
107039,84,25
107054,84,17
108003,84,34
101021,96,22
101030,96,29
101032,96,23
102010,96,33
102011,96,27
104023,96,20
108013,96,34
108020,96,32
108039,96,26
108043,96,33
109002,96,24
101001,108,7
107020,108,25
107055,108,9
108014,108,34
108041,108,28
109004,108,6
101010,120,9
101020,120,20
101035,120,22
104020,120,18
107019,120,22
108008,120,34
108028,120,20
102018,132,28
107004,132,30
107016,132,28
107026,132,31
107027,132,28
107030,132,29
107032,132,34
107040,132,13
107041,132,27
107042,132,31
108001,132,22
108027,132,18
108045,132,28
104002,132,21
107006,132,15
107038,132,32
101005,156,12
101012,156,16
102022,156,25
102027,156,10
102032,156,21
102040,156,27
104043,156,23
105022,156,24
107007,156,15
107017,156,23
107028,156,5
107056,156,23
107057,156,30
107058,156,23
108002,156,33
108044,156,34
101006,156,17
101011,156,13
101022,156,26
101026,156,23
102015,156,28
102017,156,28
102020,156,27
102021,156,28
102024,156,20
102026,156,18
102034,156,10
102035,156,12
104001,156,20
104026,156,17
107003,156,23
107005,156,23
107010,156,22
107014,156,25
107018,156,23
107022,156,28
107023,156,22
107024,156,8
107025,156,3
107029,156,33
107031,156,25
107033,156,25
107044,156,29
107045,156,29
107047,156,28
108012,156,34
108023,156,34
108042,156,27
102012,204,24
102013,204,27
102014,204,11
102019,204,28
104027,204,9
105027,204,20
105030,204,23
107001,204,28
107009,204,23
107015,204,25
107060,204,25
109001,204,21
101004,204,14
102016,204,28
102025,204,14
102028,204,3
102030,204,12
102031,204,20
102038,204,14
102039,204,19
104041,204,22
105026,204,24
107002,204,18
107011,204,24
107012,204,9
107013,204,23
107053,204,7
107059,204,11
108019,204,34
