ID,agestrat,TOTALscore
101001,108,184
101002,78,173
101003,32,103
101004,204,188
101005,180,190
101006,156,189
101007,36,132
101008,48,118
101009,84,180
101010,120,187
101011,156,190
101012,180,190
101013,36,105
101014,84,156
101015,60,145
101017,32,97
101018,78,169
101019,48,156
101020,120,188
101021,96,180
101022,156,190
101023,72,169
101024,72,137
101025,54,133
101026,156,188
101027,48,144
101028,12,52
101029,60,155
101030,96,180
101031,60,132
101032,96,183
101033,32,91
101034,60,127
101035,120,188
101036,48,104
101037,60,176
101038,84,186
101039,42,127
101040,24,79
101041,14,65
101042,28,99
101043,60,167
101044,2,12
101045,78,177
101046,24,93
101047,72,157
101048,28,130
101049,32,89
101050,60,140
101051,28,100
102001,72,163
102002,24,69
102003,22,71
102004,0,7
102005,16,63
102006,32,61
102007,14,42
102008,0,9
102009,72,122
102010,96,145
102011,96,176
102012,228,190
102013,228,190
102014,228,190
102015,156,189
102016,204,190
102017,156,190
102018,144,190
102019,228,190
102020,156,190
102021,156,190
102022,180,190
102023,16,50
102024,156,190
102025,204,190
102026,156,190
102027,180,190
102028,204,190
102029,28,73
102030,204,190
102031,204,190
102032,180,190
102033,0,4
102034,156,190
102035,156,190
102036,12,44
102037,24,66
102038,204,190
102039,204,190
102040,180,190
104001,156,186
104002,132,188
104003,54,137
104004,72,167
104005,60,128
104006,66,155
104007,36,117
104011,4,21
104012,2,20
104014,78,172
104015,36,122
104016,28,89
104017,84,167
104018,36,117
104019,6,26
104020,120,188
104021,14,70
104022,16,64
104023,96,180
104024,60,146
104025,60,149
104026,156,173
104027,228,190
104028,48,122
104029,16,47
104030,66,124
104031,6,24
104040,54,144
104041,204,189
104043,180,188
104052,24,72
104053,24,69
105001,36,63
105002,48,84
105006,54,91
105008,36,99
105010,54,49
105012,48,85
105013,42,72
105014,42,67
105020,48,90
105022,180,161
105027,228,145
105030,228,155
105033,66,150
105034,72,150
105035,72,97
105042,42,49
105043,66,117
107001,228,182
107002,204,190
107003,156,184
107004,144,187
107005,156,176
107006,132,190
107007,180,189
107008,78,140
107009,228,190
107010,156,177
107011,204,190
107012,204,190
107013,204,190
107014,156,190
107015,228,189
107016,144,189
107017,180,188
107018,156,190
107019,120,190
107020,108,190
107021,72,158
107022,156,184
107023,156,180
107024,156,183
107025,156,176
107026,144,189
107027,144,175
107028,180,184
107029,156,181
107030,144,185
107031,156,179
107032,144,172
107033,156,186
107034,24,119
107035,32,76
107036,72,188
107037,60,144
107038,132,183
107039,84,165
107040,144,188
107041,144,183
107042,144,183
107044,156,186
107045,156,188
107046,54,118
107047,156,188
107048,60,152
107049,42,143
107050,20,88
107051,24,98
107052,78,167
107053,204,190
107054,84,182
107055,108,179
107056,180,180
107057,180,181
107058,180,184
107059,204,186
107060,228,189
108001,144,188
108002,180,190
108003,84,174
108004,32,91
108005,16,58
108006,16,46
108007,78,183
108008,120,190
108009,60,169
108010,60,176
108012,156,187
108013,96,165
108014,108,186
108015,54,144
108016,72,151
108017,28,69
108018,14,41
108019,204,188
108020,96,163
108021,16,50
108022,24,74
108023,156,186
108024,24,67
108025,60,141
108026,28,87
108027,144,174
108028,120,183
108029,28,90
108031,60,101
108033,48,134
108034,20,62
108037,78,144
108038,48,121
108039,96,184
108041,108,184
108042,156,186
108043,96,176
108044,180,189
108045,144,189
109001,228,181
109002,96,176
109003,78,153
109004,108,179
109005,60,131
109006,28,86
109007,72,138
109008,42,93
109009,36,124
109011,156,183
109012,120,188
109013,16,61
109014,48,114
109015,120,181
109016,108,180
109017,156,184
109018,42,125
109019,78,164
109020,78,160
109021,96,185
109022,32,125
109023,120,189
109024,204,189
109026,66,148
109027,144,188
109028,4,31
109029,144,182
109031,180,170
109032,14,51
109033,72,174
109034,132,190
109035,42,138
109036,204,190
109037,120,175
109038,48,101
109039,228,190
109040,204,190
109041,156,190
109042,120,189
109043,84,189
109044,180,187
109045,156,169
109046,84,156
109047,2,11
109048,132,179
109049,120,169
109050,108,182
109051,84,176
109052,108,169
109053,18,53
109054,42,124
109055,66,178
109056,180,182
109057,180,182
109058,228,188
109059,14,49
109060,48,143
109061,96,189
109062,156,190
109063,36,105
109064,72,148
109065,96,178
109066,48,118
109067,10,46
109068,108,183
109069,78,174
109070,156,185
109071,228,190
109072,204,177
109073,144,181
109075,180,189
109076,204,188
109077,156,190
109078,32,122
109079,108,176
109080,54,130
109081,36,120
109082,4,15
109083,156,190
109084,108,172
109085,84,172
109086,78,157
109087,32,83
109088,96,169
109089,84,175
109090,48,152
109091,66,158
109094,120,189
109095,108,180
109096,48,143
109097,72,170
109098,6,24
109102,156,184
110001,16,65
110002,12,46
110003,6,30
110004,96,179
110005,132,188
110006,84,170
110007,72,178
110008,78,163
110009,14,62
110010,12,42
111001,84,182
111002,42,117
111003,120,180
111004,36,113
111005,2,15
111006,78,161
111007,144,186
111008,14,63
111009,60,152
111010,42,127
111011,108,189
111012,36,124
111013,10,31
111014,120,189
111015,156,190
111016,204,189
111017,14,59
111018,156,186
111019,42,118
111020,42,94
111021,108,179
111022,36,106
111023,24,83
111024,42,125
111025,144,190
111026,180,190
111027,16,67
111028,48,147
111029,60,132
111030,48,130
111031,18,76
111032,60,150
111033,156,182
111034,144,188
111035,120,183
111036,132,187
111037,20,71
111038,54,161
111039,4,24
111040,204,190
111041,156,190
111042,144,186
111043,120,180
111044,72,155
111045,20,83
111046,4,14
111047,28,81
111048,10,32
111049,48,138
111050,16,61
111051,22,66
111052,60,146
111053,8,38
111054,32,88
111055,32,118
112001,32,122
112002,72,135
112003,84,137
112004,36,106
112005,204,188
112006,78,166
112007,66,150
112008,28,118
112009,36,108
112010,24,76
112011,24,120
112012,48,142
112013,132,181
112014,204,184
112015,204,180
112016,204,190
112017,96,144
112018,84,147
112019,204,188
112020,84,125
112021,36,123
112022,48,147
112023,54,140
112024,36,142
112025,32,100
112026,32,72
112027,156,190
112028,204,187
112029,180,190
112030,144,162
112031,66,123
112032,72,154
112033,84,144
112034,78,120
112035,120,161
112036,96,160
112037,228,190
112038,78,129
112039,180,185
112040,96,140
112041,120,157
112042,84,141
112043,180,189
112044,108,158
112045,108,149
112046,108,174
112047,96,164
112048,204,190
112049,204,190
112050,84,136
112051,84,133
112052,84,140
112053,132,179
112054,204,190
112055,180,190
112056,120,179
112057,204,190
112058,204,190
112059,204,190
112060,204,190
112061,204,189
112062,156,190
112063,204,190
112064,204,190
112065,204,190
112066,204,190
112067,144,190
112068,96,150
112069,132,176
112070,84,132
112071,120,165
112072,180,190
112073,204,190
112074,204,190
112075,180,190
113001,204,160
113002,180,186
113003,228,186
113004,108,190
113005,84,182
113006,60,119
113007,66,169
113008,96,183
113009,78,163
113010,48,134
113012,22,77
113013,108,151
113014,72,157
114001,54,126
114002,72,156
114003,132,179
114004,54,143
114005,4,17
114006,60,165
114007,54,144
114008,54,129
114009,54,139
114010,54,143
114011,2,9
114012,54,142
114013,28,115
114014,54,161
114015,54,134
114016,78,156
114017,78,171
114018,54,144
114020,24,88
114022,60,142
114023,84,169
115001,48,106
115002,84,169
115003,132,174
115004,156,187
115005,180,182
115006,32,95
115007,60,139
115008,132,179
115009,84,162
115010,4,20
115011,24,99
115012,156,184
115013,180,187
115014,228,187
115015,48,97
115029,60,152
115030,108,173
115031,36,115
115032,120,186
115033,60,173
115034,84,174
115035,108,162
115036,120,184
115037,42,91
115038,156,182
115039,180,186
115040,12,39
115041,180,190
115042,180,190
115043,78,166
115044,120,182
115045,156,187
115046,24,80
115047,42,125
115048,84,183
115049,108,184
115050,120,156
115116,14,48
115117,32,81
115118,42,125
115119,28,80
115120,54,138
115121,72,139
115122,108,181
115123,144,184
115124,156,187
115125,204,188
115126,60,159
115127,96,190
115128,120,190
116001,24,96
116002,36,102
116003,36,103
116004,36,107
116005,22,59
116006,32,104
116007,14,72
116008,42,115
116009,14,46
116010,28,84
116011,144,183
116012,12,49
116013,10,45
116014,28,91
116015,132,185
116016,144,190
116017,42,105
116018,12,47
116019,20,65
116020,32,122
116021,132,190
116022,144,190
116023,180,190
116024,108,171
116025,66,159
116026,32,67
116027,28,80
116028,6,13
116029,180,190
116030,204,190
116031,12,45
116032,180,190
116033,12,42
116034,180,190
116035,180,189
116036,66,147
116037,132,188
116038,8,26
116040,132,189
116041,108,171
116042,132,188
116043,72,126
116044,132,189
116045,132,190
116046,120,173
116047,228,190
116048,132,187
116049,28,95
116050,32,97
116051,132,184
116052,228,190
116053,228,190
116054,132,187
116055,28,92
116056,32,92
116057,144,187
116058,120,185
116059,132,186
116060,132,188
116061,120,179
116062,24,88
116063,24,75
116064,228,190
116065,228,190
116069,132,186
116071,132,188
116072,132,186
116073,32,89
116074,228,190
116075,228,190
116076,228,190
116077,132,189
116078,132,189
116079,28,90
116080,32,93
117001,32,83
117002,66,159
117003,120,183
117004,24,95
117005,120,188
117006,66,155
117007,132,181
117008,10,38
117009,42,154
117010,10,38
117011,6,29
117012,36,93
117013,24,74
117014,54,142
117015,28,85
117016,24,88
117017,4,16
117018,4,26
117019,4,19
117020,6,37
117021,10,44
117022,54,144
117023,54,143
117024,48,118
117025,4,18
117026,22,67
117027,4,19
117028,28,89
117029,48,114
117030,36,117
117031,14,55
117032,144,183
117033,4,16
117034,132,175
117035,108,176
117036,78,170
117037,66,129
117038,108,186
117040,8,41
117041,84,172
117042,36,100
117043,66,143
117044,8,37
117045,32,126
117046,0,0
117047,0,0
117048,96,172
117049,78,165
117050,132,166
117053,8,41
117054,84,165
117055,36,108
117056,18,65
117059,22,75
117060,8,33
117061,72,150
117062,42,125
117063,10,38
117064,60,152
117065,36,113
118001,66,149
118002,32,98
118003,180,189
118004,132,187
118005,2,16
118006,48,133
118007,156,189
118008,132,189
118009,42,110
118010,120,186
118011,78,168
118012,66,165
118015,2,11
118016,96,173
118017,66,154
118018,36,90
118019,2,11
119001,36,124
119002,132,188
119003,132,187
119004,108,184
119005,18,76
119006,12,45
119007,96,188
119008,36,123
119009,78,170
119010,10,45
119011,84,177
119012,108,184
119013,132,186
119014,96,187
119015,78,179
119016,84,169
119017,132,187
119018,96,176
119019,84,156
119020,60,133
119021,96,186
119022,2,13
119023,2,21
120009,180,189
120010,204,190
120011,36,108
120012,54,133
120013,12,46
120014,16,63
120015,42,120
120016,28,100
120017,48,136
120018,60,148
120020,84,181
120021,132,189
120022,20,47
120023,78,160
120024,108,172
120025,132,175
120026,18,74
120027,72,160
120028,108,183
120029,42,120
120030,72,156
120031,60,108
120032,66,151
120037,10,42
120038,72,161
120041,0,15
120042,48,128
120043,108,185
120044,96,169
120045,144,183
120046,96,186
120047,132,190
120048,28,130
120049,54,121
120050,72,170
120051,108,180
120052,32,114
120053,60,139
120056,78,137
120057,78,150
120058,108,164
120059,66,152
120061,8,37
120062,42,139
120063,6,26
120064,48,131
120065,72,155
120066,144,188
120067,66,159
120069,8,26
120070,78,142
120071,120,184
120072,132,181
120073,108,184
121001,10,51
121002,180,189
121003,180,190
121005,18,82
121006,6,27
121007,36,123
121009,20,76
121010,24,78
121011,10,41
121012,22,71
121013,2,14
121014,20,59
121015,20,64
121016,42,134
121017,12,50
121018,78,186
121019,144,190
121020,36,105
121022,14,49
121023,54,124
122001,36,123
122002,60,155
122003,20,76
122004,0,5
122005,60,152
122006,84,174
122007,120,176
122008,20,71
