ID,agestrat,PHYscoreP
102033,0,0
120041,0,0
127042,0,0
202064,0,0
101044,2,1
118005,2,1
118015,2,1
118019,2,2
127003,2,2
127039,2,1
136012,2,2
138014,2,2
202053,2,21
109028,4,5
127018,4,1
136013,4,2
138015,4,4
202010,4,2
202025,4,4
116028,6,2
120063,6,6
127005,6,4
127026,6,4
136002,6,4
136021,6,5
136024,6,5
202020,6,3
202054,6,6
116038,8,6
120069,8,6
136008,8,7
136020,8,6
136025,8,7
202011,8,5
202023,8,7
202072,8,7
202075,8,6
116013,10,8
120037,10,9
127030,10,8
127036,10,8
127037,10,10
154003,10,5
154006,10,10
101028,12,13
102036,12,12
116012,12,11
116018,12,12
116031,12,12
116033,12,9
120013,12,7
127010,12,7
127013,12,13
136014,12,11
138018,12,11
202078,12,10
202086,12,8
109032,14,17
109059,14,14
116007,14,17
116009,14,13
127008,14,18
127040,14,14
136003,14,14
148020,14,14
202065,14,10
102023,16,12
109013,16,14
120014,16,14
136030,16,16
202046,16,16
120026,18,20
127001,18,11
202057,18,17
202059,18,12
202074,18,18
116019,20,16
120022,20,13
127012,20,16
127025,20,13
148004,20,17
148032,20,11
202045,20,17
202063,20,19
116005,22,15
127021,22,19
101040,24,18
101046,24,21
102002,24,19
102037,24,13
116001,24,25
127019,24,18
127027,24,13
127038,24,21
136019,24,15
136023,24,20
202024,24,21
202069,24,18
202079,24,15
202081,24,14
612009,24,11
101042,28,21
101048,28,29
101051,28,22
102029,28,19
109006,28,34
116010,28,23
116014,28,21
116027,28,19
120016,28,24
120048,28,27
136015,28,16
136016,28,17
136017,28,19
138011,28,19
148018,28,17
202022,28,20
202068,28,18
202095,28,12
608006,28,12
612005,28,17
612006,28,20
612010,28,20
101003,32,26
101017,32,23
101033,32,21
101049,32,19
102006,32,14
109022,32,32
109087,32,20
116006,32,30
116020,32,34
116026,32,21
118002,32,19
120052,32,23
127020,32,22
154002,32,25
202043,32,27
202055,32,28
608013,32,23
101007,36,27
101013,36,23
105001,36,19
105008,36,29
109009,36,25
116002,36,32
116003,36,30
116004,36,30
118018,36,20
120011,36,29
127006,36,31
202044,36,30
202080,36,20
508019,36,11
508021,36,10
527001,36,9
608005,36,31
101039,42,25
105013,42,27
105014,42,19
105042,42,17
109008,42,18
109018,42,29
109035,42,28
116008,42,32
116017,42,28
118009,42,28
120015,42,25
120029,42,29
127014,42,36
127017,42,24
127028,42,29
127032,42,31
148024,42,26
154009,42,37
202009,42,31
202026,42,29
202028,42,28
202042,42,26
202049,42,25
202062,42,29
202066,42,26
202087,42,18
202092,42,26
506016,42,21
508008,42,21
508022,42,10
508033,42,13
517018,42,22
608001,42,28
608009,42,29
608010,42,29
101008,48,24
101019,48,37
101027,48,31
101036,48,25
105002,48,22
105012,48,27
105020,48,19
109014,48,37
109038,48,22
109060,48,33
109066,48,32
118006,48,30
120017,48,37
120042,48,24
120064,48,29
127015,48,29
127031,48,31
148016,48,32
148021,48,26
202047,48,30
202060,48,27
202061,48,27
202088,48,35
608002,48,25
101025,54,30
105006,54,22
105010,54,16
120012,54,33
120049,54,34
127007,54,32
127024,54,31
138009,54,28
148005,54,29
154052,54,35
202006,54,29
202021,54,30
202056,54,34
202067,54,27
202071,54,35
506014,54,24
508013,54,16
508027,54,18
608003,54,33
612002,54,33
101015,60,33
101029,60,30
101031,60,29
101034,60,29
101037,60,34
101043,60,34
101050,60,31
109005,60,32
120018,60,37
120031,60,23
120053,60,32
136011,60,32
148017,60,28
148028,60,34
202031,60,32
202093,60,33
508001,60,24
508002,60,24
517002,60,25
607005,60,31
608007,60,33
612001,60,33
105033,66,35
105043,66,33
109026,66,35
116025,66,37
116036,66,35
118001,66,30
118012,66,33
118017,66,31
120032,66,33
127011,66,32
127016,66,35
127029,66,33
148003,66,32
508011,66,29
517023,66,35
517028,66,32
529026,66,37
529029,66,22
608011,66,29
101023,72,33
101024,72,31
101047,72,31
102001,72,36
105034,72,32
105035,72,20
109007,72,30
109033,72,35
109064,72,33
120027,72,35
120030,72,34
120038,72,35
120050,72,37
120065,72,33
148029,72,32
202073,72,36
202090,72,33
506015,72,22
508009,72,32
508010,72,30
529001,72,37
529025,72,37
602007,72,30
101002,78,36
101018,78,37
101045,78,36
109019,78,36
109020,78,35
118011,78,35
120023,78,37
120057,78,33
120070,78,32
127004,78,37
127033,78,35
138008,78,32
148026,78,35
202027,78,32
202039,78,37
202052,78,35
202089,78,37
506003,78,32
506022,78,22
517001,78,33
602006,78,25
607004,78,33
607007,78,25
608004,78,35
608012,78,33
612017,78,33
101009,84,36
101014,84,36
101038,84,37
109043,84,37
120020,84,36
127022,84,36
127035,84,36
138004,84,35
148001,84,26
148012,84,35
148013,84,34
148023,84,35
148030,84,35
154005,84,37
154024,84,37
202097,84,37
506009,84,32
508024,84,31
508034,84,34
517017,84,35
517026,84,37
602005,84,30
101021,96,37
101030,96,36
101032,96,35
102010,96,37
102011,96,36
109021,96,36
109061,96,37
109065,96,37
118016,96,35
120044,96,37
120046,96,37
138005,96,37
138017,96,37
148008,96,30
148025,96,35
202008,96,36
202048,96,34
202050,96,34
202051,96,36
202077,96,33
202091,96,37
202096,96,37
302001,96,37
508003,96,21
529008,96,37
529015,96,37
605002,96,14
612012,96,34
101001,108,36
109004,108,36
109016,108,37
116024,108,37
120024,108,36
120028,108,34
120043,108,37
120051,108,37
120058,108,36
138003,108,37
138013,108,37
148007,108,37
148022,108,35
148031,108,36
154028,108,37
202082,108,36
302002,108,37
508016,108,37
527004,108,19
607003,108,20
612008,108,36
612013,108,36
101010,120,37
101020,120,37
101035,120,37
109012,120,36
109015,120,37
109023,120,35
109042,120,37
118010,120,37
120071,120,37
127023,120,37
136005,120,36
138007,120,37
138016,120,37
154010,120,37
154018,120,37
202076,120,37
202094,120,37
506008,120,36
508026,120,28
517021,120,37
612007,120,26
612014,120,36
102018,132,37
109029,132,37
116011,132,37
116016,132,37
116022,132,37
120045,132,37
120066,132,37
138001,132,37
138010,132,37
138012,132,37
148009,132,35
148015,132,37
154017,132,35
154025,132,36
202012,132,35
302011,132,37
529022,132,37
529023,132,37
608008,132,37
109034,132,37
116015,132,37
116021,132,37
116037,132,37
116040,132,37
118004,132,37
118008,132,37
120025,132,36
120047,132,37
120072,132,36
127002,132,37
127034,132,37
136001,132,37
136004,132,37
148002,132,34
148006,132,37
148027,132,37
154021,132,37
154022,132,32
202001,132,37
202083,132,35
202085,132,35
101005,156,37
101012,156,37
102022,156,37
102027,156,37
102032,156,37
102040,156,37
105022,156,31
109044,156,36
116023,156,37
116029,156,37
116032,156,37
116034,156,37
116035,156,37
118003,156,37
120009,156,35
508005,156,37
601002,156,28
101006,156,37
101011,156,37
101022,156,37
101026,156,37
102015,156,37
102017,156,37
102020,156,37
102021,156,37
102024,156,37
102026,156,37
102034,156,37
102035,156,37
109011,156,37
109017,156,37
109041,156,37
109045,156,35
109062,156,37
118007,156,37
508017,156,37
508029,156,35
529010,156,37
102012,204,37
102013,204,37
102014,204,37
102019,204,37
105027,204,34
109001,204,35
109039,204,37
154001,204,37
154004,204,34
154007,204,37
154008,204,37
154011,204,37
154012,204,33
154013,204,37
154014,204,37
154015,204,37
154016,204,37
154019,204,37
154020,204,33
154023,204,37
154026,204,37
154027,204,37
101004,204,37
102016,204,37
102025,204,37
102028,204,37
102030,204,37
102031,204,37
102038,204,37
102039,204,37
105026,204,23
109024,204,37
109036,204,37
109040,204,37
116030,204,37
120010,204,37
302010,204,37
508007,204,37
529018,204,37
529020,204,37
529021,204,37
529024,204,37
