agestrat,GDS_interview,n,perc,cum_per
0,447,3,11.5385,11.5385
0,455,1,3.8462,15.3846
0,465,1,3.8462,19.2308
0,471,1,3.8462,23.0769
0,478,1,3.8462,26.9231
0,479,1,3.8462,30.7692
0,480,2,7.6923,38.4615
0,482,1,3.8462,42.3077
0,486,1,3.8462,46.1538
0,487,2,7.6923,53.8462
0,488,1,3.8462,57.6923
0,492,1,3.8462,61.5385
0,497,1,3.8462,65.3846
0,500,1,3.8462,69.2308
0,501,1,3.8462,73.0769
0,502,1,3.8462,76.9231
0,504,1,3.8462,80.7692
0,512,1,3.8462,84.6154
0,518,1,3.8462,88.4615
0,521,1,3.8462,92.3077
0,523,1,3.8462,96.1538
0,543,1,3.8462,100
2,467,1,3.8462,3.8462
2,473,1,3.8462,7.6923
2,487,1,3.8462,11.5385
2,490,1,3.8462,15.3846
2,497,1,3.8462,19.2308
2,498,1,3.8462,23.0769
2,501,1,3.8462,26.9231
2,503,2,7.6923,34.6154
2,505,1,3.8462,38.4615
2,509,1,3.8462,42.3077
2,513,1,3.8462,46.1538
2,517,1,3.8462,50
2,518,1,3.8462,53.8462
2,522,1,3.8462,57.6923
2,525,1,3.8462,61.5385
2,526,3,11.5385,73.0769
2,538,1,3.8462,76.9231
2,541,1,3.8462,80.7692
2,545,1,3.8462,84.6154
2,546,1,3.8462,88.4615
2,547,1,3.8462,92.3077
2,548,1,3.8462,96.1538
2,551,1,3.8462,100
4,441,1,2.381,2.381
4,447,1,2.381,4.7619
4,477,1,2.381,7.1429
4,481,1,2.381,9.5238
4,482,2,4.7619,14.2857
4,485,1,2.381,16.6667
4,486,1,2.381,19.0476
4,487,1,2.381,21.4286
4,488,1,2.381,23.8095
4,490,2,4.7619,28.5714
4,491,1,2.381,30.9524
4,494,1,2.381,33.3333
4,498,1,2.381,35.7143
4,500,1,2.381,38.0952
4,501,2,4.7619,42.8571
4,502,1,2.381,45.2381
4,504,1,2.381,47.619
4,506,1,2.381,50
4,511,2,4.7619,54.7619
4,512,1,2.381,57.1429
4,516,1,2.381,59.5238
4,520,1,2.381,61.9048
4,522,1,2.381,64.2857
4,528,3,7.1429,71.4286
4,533,1,2.381,73.8095
4,534,2,4.7619,78.5714
4,539,1,2.381,80.9524
4,546,1,2.381,83.3333
4,550,2,4.7619,88.0952
4,556,2,4.7619,92.8571
4,561,1,2.381,95.2381
4,573,1,2.381,97.619
4,578,1,2.381,100
6,439,1,2.5,2.5
6,462,1,2.5,5
6,471,1,2.5,7.5
6,481,1,2.5,10
6,485,1,2.5,12.5
6,490,1,2.5,15
6,492,2,5,20
6,494,1,2.5,22.5
6,498,1,2.5,25
6,502,1,2.5,27.5
6,503,1,2.5,30
6,506,5,12.5,42.5
6,509,1,2.5,45
6,514,2,5,50
6,518,1,2.5,52.5
6,519,2,5,57.5
6,524,1,2.5,60
6,525,1,2.5,62.5
6,530,1,2.5,65
6,535,1,2.5,67.5
6,536,2,5,72.5
6,537,1,2.5,75
6,541,4,10,85
6,548,1,2.5,87.5
6,551,1,2.5,90
6,553,1,2.5,92.5
6,570,1,2.5,95
6,575,1,2.5,97.5
6,580,1,2.5,100
8,452,1,2.8571,2.8571
8,457,1,2.8571,5.7143
8,467,1,2.8571,8.5714
8,474,1,2.8571,11.4286
8,478,2,5.7143,17.1429
8,479,1,2.8571,20
8,480,1,2.8571,22.8571
8,481,1,2.8571,25.7143
8,482,1,2.8571,28.5714
8,489,1,2.8571,31.4286
8,495,2,5.7143,37.1429
8,496,1,2.8571,40
8,501,2,5.7143,45.7143
8,507,1,2.8571,48.5714
8,509,1,2.8571,51.4286
8,515,1,2.8571,54.2857
8,516,1,2.8571,57.1429
8,519,1,2.8571,60
8,524,1,2.8571,62.8571
8,527,1,2.8571,65.7143
8,530,1,2.8571,68.5714
8,544,1,2.8571,71.4286
8,548,3,8.5714,80
8,549,1,2.8571,82.8571
8,555,1,2.8571,85.7143
8,559,1,2.8571,88.5714
8,570,1,2.8571,91.4286
8,572,2,5.7143,97.1429
8,577,1,2.8571,100
10,443,1,2.381,2.381
10,480,1,2.381,4.7619
10,481,1,2.381,7.1429
10,482,1,2.381,9.5238
10,488,1,2.381,11.9048
10,497,1,2.381,14.2857
10,504,1,2.381,16.6667
10,508,1,2.381,19.0476
10,512,1,2.381,21.4286
10,513,1,2.381,23.8095
10,514,1,2.381,26.1905
10,517,1,2.381,28.5714
10,518,2,4.7619,33.3333
10,519,2,4.7619,38.0952
10,524,1,2.381,40.4762
10,528,1,2.381,42.8571
10,534,2,4.7619,47.619
10,535,2,4.7619,52.381
10,540,1,2.381,54.7619
10,541,3,7.1429,61.9048
10,545,1,2.381,64.2857
10,552,2,4.7619,69.0476
10,553,1,2.381,71.4286
10,556,1,2.381,73.8095
10,557,1,2.381,76.1905
10,558,1,2.381,78.5714
10,559,1,2.381,80.9524
10,563,1,2.381,83.3333
10,579,2,4.7619,88.0952
10,590,1,2.381,90.4762
10,591,1,2.381,92.8571
10,592,2,4.7619,97.619
10,598,1,2.381,100
12,450,1,2.7027,2.7027
12,461,1,2.7027,5.4054
12,470,1,2.7027,8.1081
12,483,1,2.7027,10.8108
12,499,1,2.7027,13.5135
12,500,1,2.7027,16.2162
12,501,1,2.7027,18.9189
12,504,1,2.7027,21.6216
12,516,1,2.7027,24.3243
12,521,3,8.1081,32.4324
12,522,1,2.7027,35.1351
12,526,2,5.4054,40.5405
12,528,1,2.7027,43.2432
12,532,2,5.4054,48.6486
12,537,1,2.7027,51.3514
12,543,1,2.7027,54.0541
12,549,1,2.7027,56.7568
12,555,1,2.7027,59.4595
12,561,1,2.7027,62.1622
12,566,1,2.7027,64.8649
12,567,1,2.7027,67.5676
12,571,2,5.4054,72.973
12,582,1,2.7027,75.6757
12,583,1,2.7027,78.3784
12,585,1,2.7027,81.0811
12,587,1,2.7027,83.7838
12,589,1,2.7027,86.4865
12,593,1,2.7027,89.1892
12,604,1,2.7027,91.8919
12,610,2,5.4054,97.2973
12,686,1,2.7027,100
14,453,1,2.3256,2.3256
14,456,1,2.3256,4.6512
14,474,1,2.3256,6.9767
14,476,1,2.3256,9.3023
14,479,1,2.3256,11.6279
14,481,1,2.3256,13.9535
14,484,1,2.3256,16.2791
14,495,1,2.3256,18.6047
14,496,4,9.3023,27.907
14,500,1,2.3256,30.2326
14,501,1,2.3256,32.5581
14,502,1,2.3256,34.8837
14,504,1,2.3256,37.2093
14,508,1,2.3256,39.5349
14,516,1,2.3256,41.8605
14,517,1,2.3256,44.186
14,532,1,2.3256,46.5116
14,533,1,2.3256,48.8372
14,539,1,2.3256,51.1628
14,544,1,2.3256,53.4884
14,545,1,2.3256,55.814
14,554,1,2.3256,58.1395
14,555,1,2.3256,60.4651
14,561,1,2.3256,62.7907
14,567,1,2.3256,65.1163
14,581,1,2.3256,67.4419
14,585,1,2.3256,69.7674
14,591,1,2.3256,72.093
14,594,1,2.3256,74.4186
14,596,2,4.6512,79.0698
14,598,1,2.3256,81.3953
14,607,1,2.3256,83.7209
14,608,2,4.6512,88.3721
14,626,1,2.3256,90.6977
14,636,1,2.3256,93.0233
14,646,1,2.3256,95.3488
14,653,1,2.3256,97.6744
14,692,1,2.3256,100
16,438,1,3.0303,3.0303
16,449,1,3.0303,6.0606
16,451,1,3.0303,9.0909
16,456,1,3.0303,12.1212
16,457,1,3.0303,15.1515
16,465,1,3.0303,18.1818
16,466,1,3.0303,21.2121
16,480,1,3.0303,24.2424
16,499,1,3.0303,27.2727
16,504,1,3.0303,30.303
16,505,1,3.0303,33.3333
16,517,1,3.0303,36.3636
16,526,1,3.0303,39.3939
16,527,1,3.0303,42.4242
16,533,1,3.0303,45.4545
16,543,1,3.0303,48.4848
16,544,1,3.0303,51.5152
16,545,1,3.0303,54.5455
16,549,1,3.0303,57.5758
16,550,1,3.0303,60.6061
16,555,1,3.0303,63.6364
16,556,2,6.0606,69.697
16,561,1,3.0303,72.7273
16,565,1,3.0303,75.7576
16,568,1,3.0303,78.7879
16,569,1,3.0303,81.8182
16,590,1,3.0303,84.8485
16,609,1,3.0303,87.8788
16,614,1,3.0303,90.9091
16,639,1,3.0303,93.9394
16,658,1,3.0303,96.9697
16,727,1,3.0303,100
18,391,1,2.9412,2.9412
18,424,2,5.8824,8.8235
18,443,1,2.9412,11.7647
18,458,2,5.8824,17.6471
18,466,1,2.9412,20.5882
18,490,2,5.8824,26.4706
18,498,1,2.9412,29.4118
18,502,1,2.9412,32.3529
18,507,1,2.9412,35.2941
18,512,1,2.9412,38.2353
18,513,1,2.9412,41.1765
18,532,1,2.9412,44.1176
18,548,1,2.9412,47.0588
18,551,1,2.9412,50
18,558,1,2.9412,52.9412
18,560,2,5.8824,58.8235
18,563,1,2.9412,61.7647
18,564,1,2.9412,64.7059
18,577,1,2.9412,67.6471
18,578,1,2.9412,70.5882
18,581,1,2.9412,73.5294
18,582,1,2.9412,76.4706
18,587,1,2.9412,79.4118
18,593,1,2.9412,82.3529
18,597,1,2.9412,85.2941
18,608,1,2.9412,88.2353
18,636,1,2.9412,91.1765
18,663,1,2.9412,94.1176
18,666,1,2.9412,97.0588
18,706,1,2.9412,100
20,384,1,2.6316,2.6316
20,422,1,2.6316,5.2632
20,428,1,2.6316,7.8947
20,445,1,2.6316,10.5263
20,462,1,2.6316,13.1579
20,464,1,2.6316,15.7895
20,469,1,2.6316,18.4211
20,478,2,5.2632,23.6842
20,487,2,5.2632,28.9474
20,490,1,2.6316,31.5789
20,494,1,2.6316,34.2105
20,497,1,2.6316,36.8421
20,503,1,2.6316,39.4737
20,507,1,2.6316,42.1053
20,509,1,2.6316,44.7368
20,511,1,2.6316,47.3684
20,519,1,2.6316,50
20,520,1,2.6316,52.6316
20,521,1,2.6316,55.2632
20,522,1,2.6316,57.8947
20,534,1,2.6316,60.5263
20,536,1,2.6316,63.1579
20,537,1,2.6316,65.7895
20,544,1,2.6316,68.4211
20,553,1,2.6316,71.0526
20,555,1,2.6316,73.6842
20,558,1,2.6316,76.3158
20,567,1,2.6316,78.9474
20,573,1,2.6316,81.5789
20,575,1,2.6316,84.2105
20,577,1,2.6316,86.8421
20,606,1,2.6316,89.4737
20,607,1,2.6316,92.1053
