group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,24,78.32,510.88549,43.64,NA
2,28,78.32,512.158495,43.64,0.020875778943916234
3,32,78.32,513.431499,43.64,0.02087576254509699
4,36,78.32,514.704503,43.64,0.02087576254509699
5,42,78.32,515.977507,43.64,0.020875762545095128
6,48,78.32,517.250512,43.64,0.020875778943916234
7,54,78.32,518.523516,43.64,0.02087576254509699
8,60,78.32,519.79652,43.64,0.02087576254509699
9,66,78.32,521.069524,43.64,0.02087576254509699
10,72,78.32,522.342528,43.64,0.02087576254509699
11,78,78.32,523.615533,43.64,0.020875778943916234
12,84,78.32,524.888537,43.64,0.02087576254509699
13,96,78.32,526.161541,43.64,0.02087576254509699
14,108,78.32,527.434545,43.64,0.020875762545095128
15,120,78.32,528.707549,43.64,0.02087576254509699
16,132,78.32,529.980554,43.64,0.020875778943916234
17,156,78.32,531.253558,43.64,0.02087576254509699
18,204,78.32,532.526562,43.64,0.02087576254509699
