agestrat,COGscore,n,perc,cum_per,lag_tot,lag_cum_per
0,0,10,38.4615,38.4615,NA,NA
0,1,5,19.2308,57.6923,0,38.4615
0,2,4,15.3846,73.0769,1,57.6923
0,3,6,23.0769,96.1538,2,73.0769
0,4,1,3.8462,100,3,96.1538
2,0,1,3.8462,3.8462,NA,NA
2,1,1,3.8462,7.6923,0,3.8462
2,2,1,3.8462,11.5385,1,7.6923
2,3,6,23.0769,34.6154,2,11.5385
2,4,6,23.0769,57.6923,3,34.6154
2,5,11,42.3077,100,4,57.6923
4,1,2,4.7619,4.7619,NA,NA
4,3,2,4.7619,9.5238,1,4.7619
4,4,5,11.9048,21.4286,3,9.5238
4,5,26,61.9048,83.3333,4,21.4286
4,6,6,14.2857,97.619,5,83.3333
4,10,1,2.381,100,6,97.619
6,4,2,5,5,NA,NA
6,5,25,62.5,67.5,4,5
6,6,8,20,87.5,5,67.5
6,7,5,12.5,100,6,87.5
8,3,1,2.8571,2.8571,NA,NA
8,5,15,42.8571,45.7143,3,2.8571
8,6,12,34.2857,80,5,45.7143
8,7,4,11.4286,91.4286,6,80
8,8,3,8.5714,100,7,91.4286
10,5,6,14.2857,14.2857,NA,NA
10,6,7,16.6667,30.9524,5,14.2857
10,7,18,42.8571,73.8095,6,30.9524
10,8,4,9.5238,83.3333,7,73.8095
10,9,6,14.2857,97.619,8,83.3333
10,13,1,2.381,100,9,97.619
12,5,2,5.4054,5.4054,NA,NA
12,6,3,8.1081,13.5135,5,5.4054
12,7,8,21.6216,35.1351,6,13.5135
12,8,10,27.027,62.1622,7,35.1351
12,9,4,10.8108,72.973,8,62.1622
12,10,4,10.8108,83.7838,9,72.973
12,11,3,8.1081,91.8919,10,83.7838
12,12,2,5.4054,97.2973,11,91.8919
12,15,1,2.7027,100,12,97.2973
14,5,1,2.3256,2.3256,NA,NA
14,6,2,4.6512,6.9767,5,2.3256
14,7,9,20.9302,27.907,6,6.9767
14,8,5,11.6279,39.5349,7,27.907
14,9,5,11.6279,51.1628,8,39.5349
14,10,7,16.2791,67.4419,9,51.1628
14,11,6,13.9535,81.3953,10,67.4419
14,12,1,2.3256,83.7209,11,81.3953
14,13,1,2.3256,86.0465,12,83.7209
14,14,2,4.6512,90.6977,13,86.0465
14,15,1,2.3256,93.0233,14,90.6977
14,17,2,4.6512,97.6744,15,93.0233
14,18,1,2.3256,100,17,97.6744
16,6,1,3.0303,3.0303,NA,NA
16,7,2,6.0606,9.0909,6,3.0303
16,8,4,12.1212,21.2121,7,9.0909
16,9,3,9.0909,30.303,8,21.2121
16,10,5,15.1515,45.4545,9,30.303
16,11,4,12.1212,57.5758,10,45.4545
16,12,7,21.2121,78.7879,11,57.5758
16,13,3,9.0909,87.8788,12,78.7879
16,15,1,3.0303,90.9091,13,87.8788
16,18,2,6.0606,96.9697,15,90.9091
16,19,1,3.0303,100,18,96.9697
18,7,3,8.8235,8.8235,NA,NA
18,8,2,5.8824,14.7059,7,8.8235
18,10,2,5.8824,20.5882,8,14.7059
18,11,3,8.8235,29.4118,10,20.5882
18,12,2,5.8824,35.2941,11,29.4118
18,13,10,29.4118,64.7059,12,35.2941
18,14,4,11.7647,76.4706,13,64.7059
18,16,4,11.7647,88.2353,14,76.4706
18,17,1,2.9412,91.1765,16,88.2353
18,19,2,5.8824,97.0588,17,91.1765
18,20,1,2.9412,100,19,97.0588
20,6,1,2.6316,2.6316,NA,NA
20,9,1,2.6316,5.2632,6,2.6316
20,11,1,2.6316,7.8947,9,5.2632
20,12,9,23.6842,31.5789,11,7.8947
