group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,2.923212,0,2.831184,NA
2,2,2.948871,1.09427,2.781206,0.3811302442872216
3,4,2.974529,2.750557,2.731229,0.5793322481480364
4,6,3.000188,4.390088,2.681252,0.5759207840243054
5,8,3.025847,6.010372,2.631274,0.5716012816793947
6,10,3.051505,7.608919,2.581297,0.5663624100890678
7,12,3.077164,9.183239,2.53132,0.5601921346009701
8,14,3.102822,10.730841,2.481342,0.5530780562383448
9,16,3.128481,12.249236,2.431365,0.5450084843786034
10,18,3.15414,13.735934,2.381388,0.5359703963111114
11,20,3.179798,15.188444,2.331411,0.5259507852861891
12,22,3.205457,16.604277,2.281433,0.5149373541736619
13,24,3.231116,17.980941,2.231456,0.502915668367999
14,28,3.256774,19.315948,2.181479,0.4898737480878731
15,32,3.282433,20.606806,2.131501,0.4757964454538057
16,36,3.308091,21.851027,2.081524,0.46067121091411706
17,42,3.33375,23.046119,2.031547,0.44448229794906824
18,48,3.359409,24.189593,1.981569,0.4272163754433723
19,54,3.385067,25.278958,1.931592,0.4088579860620139
20,60,3.410726,26.311724,1.881615,0.3893924026769732
21,66,3.436385,27.285401,1.831637,0.3688043678044016
22,72,3.462043,28.1975,1.78166,0.3470787144831134
23,78,3.487702,29.04553,1.731683,0.32419874515057046
24,84,3.513361,29.827,1.681705,0.30014832274884284
25,96,3.539019,30.539421,1.631728,0.27491177006569545
26,108,3.564678,31.180303,1.581751,0.24847186865863208
27,120,3.590336,31.747155,1.531773,0.22081118071530761
28,132,3.615995,32.237488,1.481796,0.1919130324171468
29,144,3.641654,32.64881,1.431819,0.16175845991215973
30,156,3.667312,32.978633,1.381841,0.13033100304209783
31,180,3.692971,33.224466,1.331864,0.09761099576453636
32,204,3.71863,33.383819,1.281887,0.06358001195369618
33,228,3.744288,33.454201,1.231909,0.02821850962150265
