group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,3.247431,0,2.937125,NA
2,2,3.249731,0.613156,2.879577,0.19917582328341454
3,4,3.252031,2.389537,2.822029,0.5822592582637841
4,6,3.25433,4.18519,2.764482,0.5939541905347219
5,8,3.25663,5.993771,2.706934,0.6037470364809114
6,10,3.25893,7.808937,2.649386,0.6115850227596642
7,12,3.261229,9.624343,2.591838,0.6174124250523938
8,14,3.263529,11.433646,2.53429,0.6211726730482128
9,16,3.265829,13.230502,2.4767420000000002,0.6228059883591456
10,18,3.268128,15.008566,2.419195,0.6222503900736088
11,20,3.270428,16.761496,2.361647,0.6194428360942874
12,22,3.272728,18.482946,2.304099,0.6143153004638625
13,24,3.275027,20.166573,2.246551,0.6067996257119834
14,28,3.277327,21.806033,2.189003,0.5968233443527193
15,32,3.279627,23.394982,2.131455,0.5843114152520837
16,36,3.281926,24.927076,2.073908,0.5691858281424321
17,42,3.284226,26.395971,2.01636,0.5513652802723615
18,48,3.286526,27.795324,1.958812,0.530765440752276
19,54,3.288826,29.11879,1.901264,0.5072972569979879
20,60,3.291125,30.360025,1.843716,0.480869073120198
21,66,3.293425,31.512685,1.786168,0.4513847757007391
22,72,3.295725,32.570427,1.728621,0.4187444124514216
23,78,3.298024,33.526906,1.671073,0.3828426299124314
24,84,3.300324,34.375779,1.613525,0.3435708340407828
25,96,3.302624,35.110701,1.555977,0.30081381843856864
26,108,3.304923,35.725329,1.498429,0.2544529040867838
27,120,3.307223,36.213319,1.440881,0.20436256001179146
28,132,3.309523,36.568327,1.383333,0.15041182252652185
29,144,3.311822,36.784008,1.325786,0.09246314009678558
30,156,3.314122,36.854019,1.268238,0.030373641210034975
31,180,3.316422,36.772016,1.21069,-0.03600779496330864
32,204,3.318721,36.531655,1.153142,-0.10683927891787676
33,228,3.321021,36.531655,1.095594,0
