group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,2.672506,0,2.769328,NA
2,2,2.74473,0.606527,2.729269,0.22225587364702262
3,4,2.816954,2.392869,2.68921,0.6507524523998414
4,6,2.889178,4.195379,2.649151,0.6528176531054889
5,8,2.961402,6.008018,2.609093,0.6526843885545401
6,10,3.033626,7.824748,2.569034,0.6503910489024809
7,12,3.105851,9.63953,2.528975,0.6459743754074536
8,14,3.178075,11.446327,2.488916,0.6394713345650526
9,16,3.250299,13.239099,2.448857,0.6309163518648842
10,18,3.322523,15.01181,2.408799,0.6203453608851707
11,20,3.394747,16.758419,2.36874,0.6077905252710156
12,22,3.466971,18.47289,2.328681,0.5932867491255186
13,24,3.539195,20.149183,2.288622,0.5768649617424888
14,28,3.611419,21.78126,2.248564,0.5585574701825832
15,32,3.683643,23.363084,2.208505,0.5383956322474626
16,36,3.755867,24.888615,2.168446,0.5164087623189383
17,42,3.828091,26.351815,2.128387,0.49262713231804073
18,48,3.900315,27.746647,2.088328,0.46708007394818385
19,54,3.97254,29.067071,2.04827,0.439794884912743
20,60,4.044764,30.30705,2.008211,0.4108004242248812
21,66,4.116988,31.460544,1.968152,0.38012294330709456
22,72,4.189212,32.521517,1.928093,0.3477902994031128
23,78,4.261436,33.483929,1.888034,0.31382722842801
24,84,4.33366,34.341742000000004,1.847976,0.2782598738507317
25,96,4.405884,35.088918,1.807917,0.24111324191313177
26,108,4.478108,35.719418,1.767858,0.2024114897172629
27,120,4.550332,36.227205,1.727799,0.16217919743036177
28,132,4.622556,36.606239,1.687741,0.12043886655267974
29,156,4.69478,36.850483,1.647682,0.07721446365966342
30,204,4.767004,36.953898,1.607623,0.03252788432950508
