agestrat,n,median,mean,sd,ES,group
0,26,2,1.81,1.2,NA,1
2,26,4,4.31,1.16,2.12,2
4,42,5,4.6,1.96,0.19,3
6,40,7,6.33,1.97,0.88,4
8,35,7,7.11,2.23,0.37,5
10,42,9,9.17,1.99,0.98,6
12,37,11,10.73,2,0.78,7
14,43,11,11.4,2.09,0.33,8
16,33,12,11.88,2.16,0.23,9
18,34,13,13.24,2.56,0.58,10
20,38,13,13.76,2.49,0.21,11
22,30,14,13.7,3.02,-0.02,12
24,71,14,14.75,3.83,0.31,13
28,64,15,15.86,3.99,0.28,14
32,59,17,17.46,4.26,0.39,15
36,84,18,18.37,4.94,0.2,16
42,93,20,19.99,6.05,0.29,17
48,92,22,22.32,4.98,0.42,18
54,90,26,24.58,6.81,0.38,19
60,107,27,26.25,6.11,0.26,20
66,93,28,27.02,5.67,0.13,21
72,105,30,28.44,6.33,0.24,22
78,89,30,29.06,5.28,0.11,23
84,122,31.5,30.21,4.83,0.23,24
96,121,33,31.62,4.25,0.31,25
108,109,34,32.21,3.99,0.14,26
120,104,34,32.71,3.86,0.13,27
132,196,35,33.46,3.51,0.2,28
156,126,35,34.07,3.31,0.18,29
204,108,36,35.1,2.38,0.36,30
