group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,24,6.873796,15.126653,5.201557,NA
2,28,6.690186,17.141313,4.936124,0.3400031466146491
3,32,6.506575,19.126265,4.670691,0.3481825832930764
4,36,6.322965,21.070163,4.405258,0.3549608958740891
5,42,6.139355,22.96166,4.139825,0.36015817852401794
6,48,5.955745,24.78941,3.874392,0.3635628201594319
7,54,5.772135,26.542065,3.608959,0.36492299738626865
8,60,5.588525,28.208278,3.343526,0.3639381438851708
9,66,5.404915,29.776704,3.078093,0.36024592279589723
10,72,5.221304,31.235995,2.81266,0.35340400165357194
11,78,5.037694,32.574804,2.547227,0.34286928932507055
12,84,4.854084,33.781785,2.281794,0.32796616542349333
13,96,4.670474,34.845592,2.016361,0.3078431853428496
14,108,4.486864,35.754876,1.750928,0.2814112933394518
15,120,4.303254,36.498292,1.485495,0.24725845943567526
16,132,4.119644,37.064493,1.220062,0.2035146837543934
17,156,3.936034,37.442132,0.954629,0.14765410710014548
18,204,3.752423,37.619863,0.689196,0.07617900959272401
