rawscore,GDS_parent_SS
211,47
212,47
213,48
214,48
215,48
216,48
217,48
218,48
219,49
220,49
221,49
222,49
223,49
224,49
225,50
226,50
227,50
228,50
229,50
230,51
231,51
232,51
233,51
234,51
235,51
236,52
237,52
238,52
239,52
240,52
241,52
242,53
243,53
244,53
245,53
246,53
247,53
248,54
249,54
250,54
251,54
252,54
253,55
254,55
255,55
256,55
257,55
258,55
259,56
260,56
261,56
262,56
263,56
264,56
265,57
266,57
267,57
268,57
269,57
270,58
271,58
272,58
273,58
274,58
275,58
276,59
277,59
278,59
279,59
280,59
281,59
282,60
283,60
284,60
285,60
286,60
287,61
288,61
289,61
290,61
291,61
292,61
293,62
294,62
295,62
296,62
297,62
298,62
299,63
300,63
301,63
302,63
303,63
304,63
305,64
306,64
307,64
308,64
309,64
310,65
311,65
312,65
313,65
314,65
315,65
316,66
317,66
318,66
319,66
320,66
321,66
322,67
323,67
324,67
325,67
326,67
327,68
328,68
329,68
330,68
331,68
332,68
333,69
334,69
335,69
336,69
337,69
338,69
339,70
340,70
341,70
342,70
343,70
344,70
345,71
346,71
347,71
348,71
349,71
350,72
351,72
352,72
353,72
354,72
355,72
356,73
357,73
358,73
359,73
360,73
361,73
362,74
363,74
364,74
365,74
366,74
367,75
368,75
369,75
370,75
371,75
372,75
373,76
374,76
375,76
376,76
377,76
378,76
379,77
380,77
381,77
382,77
383,77
384,77
385,78
386,78
387,78
388,78
389,78
390,79
391,79
392,79
393,79
394,79
395,79
396,80
397,80
398,80
399,80
400,80
401,80
402,81
403,81
404,81
405,81
406,81
407,82
408,82
409,82
410,82
411,82
412,82
413,83
414,83
415,83
416,83
417,83
418,83
419,84
420,84
421,84
422,84
423,84
424,85
425,85
426,85
427,85
428,85
429,85
430,86
431,86
432,86
433,86
434,86
435,86
436,87
437,87
438,87
439,87
440,87
441,87
442,88
443,88
444,88
445,88
446,88
447,89
448,89
449,89
450,89
451,89
452,89
453,90
454,90
455,90
456,90
457,90
458,90
459,91
460,91
461,91
462,91
463,91
464,92
465,92
466,92
467,92
468,92
469,92
470,93
471,93
472,93
473,93
474,93
475,93
476,94
477,94
478,94
479,94
480,94
481,94
482,95
483,95
484,95
485,95
486,95
487,96
488,96
489,96
490,96
491,96
492,96
493,97
494,97
495,97
496,97
497,97
498,97
499,98
500,98
501,98
502,98
503,98
504,99
505,99
506,99
507,99
508,99
509,99
510,100
511,100
512,100
513,100
514,100
515,100
516,101
517,101
518,101
519,101
520,101
521,102
522,102
523,102
524,102
525,102
526,102
527,103
528,103
529,103
530,103
531,103
532,103
533,104
534,104
535,104
536,104
537,104
538,104
539,105
540,105
541,105
542,105
543,105
544,106
545,106
546,106
547,106
548,106
549,106
550,107
551,107
552,107
553,107
554,107
555,107
556,108
557,108
558,108
559,108
560,108
561,109
562,109
563,109
564,109
565,109
566,109
567,110
568,110
569,110
570,110
571,110
572,110
573,111
574,111
575,111
576,111
577,111
578,111
579,112
580,112
581,112
582,112
583,112
584,113
585,113
586,113
587,113
588,113
589,113
590,114
591,114
592,114
593,114
594,114
595,114
596,115
597,115
598,115
599,115
600,115
601,116
602,116
603,116
604,116
605,116
606,116
607,117
608,117
609,117
610,117
611,117
612,117
613,118
614,118
615,118
616,118
617,118
618,119
619,119
620,119
621,119
622,119
623,119
624,120
625,120
626,120
627,120
628,120
629,120
630,121
631,121
632,121
633,121
634,121
635,121
636,122
637,122
638,122
639,122
640,122
641,123
642,123
643,123
644,123
645,123
646,123
647,124
648,124
649,124
650,124
651,124
652,124
653,125
654,125
655,125
656,125
657,125
658,126
659,126
660,126
661,126
662,126
663,126
664,127
665,127
666,127
667,127
668,127
669,127
670,128
671,128
672,128
673,128
674,128
675,128
676,129
677,129
678,129
679,129
680,129
681,130
682,130
683,130
684,130
685,130
686,130
687,131
688,131
689,131
690,131
691,131
692,131
693,132
694,132
695,132
696,132
697,132
698,133
699,133
700,133
701,133
702,133
703,133
704,134
705,134
706,134
707,134
708,134
709,134
710,135
711,135
712,135
713,135
714,135
715,136
716,136
717,136
718,136
719,136
720,136
721,137
722,137
723,137
724,137
725,137
726,137
727,138
728,138
729,138
730,138
731,138
732,138
733,139
734,139
735,139
736,139
737,139
738,140
739,140
740,140
741,140
742,140
743,140
744,141
745,141
746,141
747,141
748,141
749,141
750,142
751,142
752,142
753,142
754,142
755,143
756,143
757,143
758,143
759,143
760,143
761,144
762,144
763,144
764,144
765,144
766,144
767,145
768,145
769,145
770,145
771,145
772,145
773,146
774,146
775,146
776,146
777,146
778,147
779,147
780,147
781,147
782,147
783,147
784,148
785,148
786,148
787,148
788,148
789,148
790,149
791,149
792,149
793,149
794,149
795,150
796,150
797,150
798,150
799,150
800,150
