rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,100,97,88,65,61,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,105,102,93,73,67,59,52,42,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,111,108,98,82,74,65,57,48,47,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,116,113,103,90,80,71,63,53,52,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,122,119,109,98,87,77,69,59,56,49,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,127,124,115,105,93,83,74,64,61,53,46,40,40,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,132,130,120,110,100,89,80,70,66,58,51,43,44,47,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,138,135,126,116,106,95,85,75,71,63,55,48,48,50,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,143,141,131,122,112,101,91,81,75,67,60,52,52,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40
9,149,146,137,127,117,107,97,87,80,72,64,57,56,57,52,47,42,40,40,40,40,40,40,40,40,40,40,40,40,40
10,154,152,142,133,123,113,102,92,85,77,69,62,60,60,55,50,46,41,40,40,40,40,40,40,40,40,40,40,40,40
11,160,157,148,139,129,119,108,98,89,81,74,66,64,64,59,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40
12,160,160,154,144,135,124,114,103,94,86,78,71,68,67,62,57,52,48,40,40,40,40,40,40,40,40,40,40,40,40
13,160,160,159,150,140,130,120,109,99,91,83,75,72,71,65,60,56,51,40,40,40,40,40,40,40,40,40,40,40,40
14,160,160,160,156,146,136,126,115,105,95,87,80,76,74,69,64,59,54,40,40,40,40,40,40,40,40,40,40,40,40
15,160,160,160,160,152,142,132,122,111,100,92,84,80,77,72,67,62,58,41,40,40,40,40,40,40,40,40,40,40,40
16,160,160,160,160,158,148,138,128,117,107,97,89,84,81,75,70,66,61,45,41,40,40,40,40,40,40,40,40,40,40
17,160,160,160,160,160,154,144,134,123,114,102,93,88,84,79,74,69,64,50,45,41,40,40,40,40,40,40,40,40,40
18,160,160,160,160,160,160,150,140,129,120,112,98,91,87,82,77,72,68,54,49,45,41,40,40,40,40,40,40,40,40
19,160,160,160,160,160,160,156,146,135,127,122,105,95,91,85,80,75,71,58,53,49,45,42,40,40,40,40,40,40,40
20,160,160,160,160,160,160,160,152,142,134,132,115,99,94,89,84,79,74,62,57,53,49,46,40,40,40,40,40,40,40
21,160,160,160,160,160,160,160,158,148,141,142,125,109,97,92,87,82,78,66,62,57,54,50,43,41,40,40,41,40,40
22,160,160,160,160,160,160,160,160,154,148,152,135,119,102,95,90,85,81,70,66,61,58,54,47,45,44,44,44,44,44
23,160,160,160,160,160,160,160,160,160,154,160,146,129,112,99,94,89,84,75,70,65,62,58,51,49,48,48,48,48,48
24,160,160,160,160,160,160,160,160,160,160,160,156,139,122,106,97,92,87,79,74,69,66,62,55,53,52,52,52,52,51
25,160,160,160,160,160,160,160,160,160,160,160,160,149,133,117,101,95,91,83,78,74,70,66,59,57,56,56,56,55,55
26,160,160,160,160,160,160,160,160,160,160,160,160,159,143,127,111,99,94,87,82,78,74,70,63,61,60,59,59,59,59
27,160,160,160,160,160,160,160,160,160,160,160,160,160,153,137,122,106,97,91,86,82,78,74,67,65,64,63,63,63,63
28,160,160,160,160,160,160,160,160,160,160,160,160,160,160,147,132,117,102,95,90,86,82,78,71,69,67,67,67,67,66
29,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,142,127,113,100,94,90,86,82,74,72,71,71,71,70,70
30,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,153,138,123,107,99,94,90,86,78,76,75,75,74,74,74
31,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,148,134,114,105,98,94,90,82,80,79,78,78,78,78
32,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,144,121,112,104,98,94,86,84,83,82,82,82,81
33,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,155,129,120,111,103,98,90,88,87,86,86,85,85
34,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,136,127,119,111,104,94,92,90,90,89,89,89
35,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,143,135,127,119,112,98,96,94,94,93,93,93
36,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,151,142,134,127,120,104,100,98,97,97,97,96
37,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,150,142,135,128,112,108,104,103,102,101,101
