SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,11--37,12--37,14--37,15--37,17--37,19--37,20--37,22--37,23--37,25--37,27--37,28--37,30--37,31--37,33--37,34--37,35--37,37,-,-,-,-,-,-,-,-,-,-,-,-
159,-,-,13,-,-,18,-,-,-,-,26,-,-,-,32,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,-,-,-,21,-,-,-,-,29,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-
157,-,11,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,14,-,-,19,-,-,24,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-,-,-,-,-,27,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,10,-,12,-,-,17,-,-,22,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,10,-,-,15,-,-,20,-,-,25,-,-,-,31,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-
151,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,13,-,-,18,-,-,23,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-
149,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,11,-,-,16,-,-,21,-,-,26,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,9,-,-,14,-,-,19,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,-,-,-,-,-,-,-,27,-,30,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,12,-,-,17,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,36,-,-,-,-,-,-,-,-,-,-
142,-,-,10,-,-,15,-,-,-,-,-,25,-,-,-,31,-,-,-,-,37,-,-,-,-,-,-,-,-,-
141,-,8,-,-,-,-,-,-,20,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,13,-,-,-,-,-,23,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,11,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,7,-,-,-,-,-,16,-,-,-,-,-,26,-,29,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,9,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,-,-,-,-,-,14,-,-,-,-,-,24,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-
135,-,7,-,-,-,-,-,-,19,-,-,-,-,27,-,30,-,-,-,35,36,37,-,-,-,-,-,-,-,-
134,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,-,-,10,-,-,-,17,-,-,22,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-
132,6,-,-,-,-,-,15,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,-,-,8,-,-,-,-,-,-,20,-,-,-,-,28,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-
130,-,6,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,-,11,-,-,-,18,-,-,23,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-
128,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,29,-,-,-,34,-,-,37,-,-,-,-,-,-,-
127,5,-,-,9,-,-,-,16,-,-,21,-,-,-,-,-,-,-,-,-,35,36,-,-,-,-,-,-,-,-
126,-,-,7,-,-,-,14,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,-,-,-,-,-,-,19,-,-,24,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,5,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,-,-,-,-,10,-,-,-,17,-,-,22,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-
122,4,-,-,8,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,37,-,-,-,-,-,-
121,-,-,-,-,-,-,-,15,-,-,20,-,-,25,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-
120,-,-,6,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,36,-,-,-,-,-,-,-
119,-,4,-,-,-,11,-,-,-,18,-,-,23,-,-,-,29,-,-,-,34,35,-,-,-,-,-,-,-,-
118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,-,-,-,-,9,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,3,-,-,7,-,-,-,-,-,-,-,21,-,-,-,-,-,30,-,-,-,-,-,-,37,-,-,-,-,-
115,-,-,5,-,-,-,-,14,-,-,-,-,-,24,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,-,-,-,-,-,-,12,-,-,-,19,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-
113,-,3,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,36,-,-,-,-,-,-
112,-,-,-,-,-,-,-,-,-,17,-,-,22,-,-,-,28,-,-,-,33,34,35,-,-,-,-,-,-,-
111,2,-,-,-,8,-,-,-,15,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-
110,-,-,-,6,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,-,-,4,-,-,-,-,13,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-
108,-,2,-,-,-,-,11,-,-,-,18,-,-,23,-,26,-,-,-,-,-,-,-,-,36,-,-,-,-,-
107,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,37,-,-,-
106,-,-,-,-,7,-,-,-,-,16,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,1,-,-,5,-,-,-,-,14,-,-,-,-,-,-,-,27,-,-,31,-,-,-,35,-,-,-,-,-,-
