rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_144,mo_156,mo_180,mo_204,mo_228
0,84,79,73,67,61,55,48,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,86,81,75,69,62,56,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,87,82,76,70,64,57,51,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,89,84,78,71,65,58,52,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,90,85,79,73,66,60,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,92,86,80,74,68,61,54,47,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,94,88,82,75,69,62,55,49,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,95,89,83,77,70,63,57,50,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,97,91,85,78,71,65,58,51,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
9,98,92,86,79,73,66,59,52,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
10,100,94,87,81,74,67,60,53,47,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
11,101,95,89,82,75,68,61,54,48,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
12,102,97,90,83,77,70,63,56,49,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
13,103,98,92,85,78,71,64,57,50,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
14,105,99,93,86,79,72,65,58,51,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
15,106,101,94,88,81,73,66,59,52,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
