rawscore,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,60,54,47,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,62,56,49,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,64,58,52,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,67,61,54,48,41,40,40,40,40,40,40,40,40,40,40,40,40,40
4,69,63,57,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40
5,71,65,59,53,46,40,40,40,40,40,40,40,40,40,40,40,40,40
6,73,67,61,55,49,42,40,40,40,40,40,40,40,40,40,40,40,40
7,75,70,64,58,51,45,40,40,40,40,40,40,40,40,40,40,40,40
8,78,72,66,60,54,48,41,40,40,40,40,40,40,40,40,40,40,40
9,80,74,69,63,57,50,44,40,40,40,40,40,40,40,40,40,40,40
10,82,77,71,65,59,53,47,40,40,40,40,40,40,40,40,40,40,40
11,84,79,74,68,62,56,50,43,40,40,40,40,40,40,40,40,40,40
12,86,81,76,70,65,59,53,46,40,40,40,40,40,40,40,40,40,40
13,89,84,78,73,67,62,56,49,42,40,40,40,40,40,40,40,40,40
14,91,86,81,75,70,64,59,52,46,40,40,40,40,40,40,40,40,40
15,93,88,83,78,73,67,61,55,49,42,40,40,40,40,40,40,40,40
16,95,90,86,81,75,70,64,59,53,46,40,40,40,40,40,40,40,40
17,97,93,88,83,78,73,67,62,56,50,43,40,40,40,40,40,40,40
18,100,95,90,86,81,76,70,65,59,53,47,40,40,40,40,40,40,40
19,103,97,93,88,83,78,73,68,63,57,51,44,40,40,40,40,40,40
20,106,100,95,91,86,81,76,71,66,60,55,48,42,40,40,40,40,40
21,109,103,98,93,89,84,79,74,69,64,58,52,46,40,40,40,40,40
22,113,106,100,96,91,87,82,77,73,68,62,57,51,44,40,40,40,40
23,116,110,104,98,94,90,85,81,76,71,66,61,55,49,43,40,40,40
24,119,113,107,101,97,92,88,84,79,75,70,65,60,54,48,42,40,40
25,123,117,111,105,99,95,91,87,83,78,74,69,64,59,54,48,40,40
26,126,121,115,109,103,98,94,90,86,82,78,73,69,64,59,54,47,40
27,129,124,119,113,108,101,97,93,89,85,81,77,73,69,65,60,54,46
28,132,128,123,117,112,106,100,96,93,89,85,82,78,74,70,66,61,54
29,136,131,126,121,116,111,105,99,96,93,89,86,82,79,76,73,68,63
30,139,135,130,126,121,116,111,105,99,96,93,90,87,84,81,79,75,71
31,142,138,134,130,125,121,116,111,105,100,97,94,92,89,87,85,82,79
32,146,142,138,134,130,125,121,117,112,107,102,98,96,94,92,91,89,87
33,149,145,142,138,134,130,126,123,119,115,111,106,101,99,98,97,96,95
34,152,149,145,142,138,135,132,128,125,122,119,117,112,109,107,106,106,104
