SS,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,34,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,-,34,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,33,34,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,33,34,35,-,-,-,-,-,-,-,-,-,-,-,-,-
142,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,29,-,32,33,-,35,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,28,-,31,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-
136,-,29,-,32,33,34,-,-,-,-,-,-,-,-,-,-,-,-
135,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,30,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-
133,-,28,-,31,32,33,34,-,-,-,-,-,-,-,-,-,-,-
132,26,-,29,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-
131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,25,27,-,30,31,-,-,34,-,35,-,-,-,-,-,-,-,-
129,-,-,28,-,-,32,33,-,-,-,-,-,-,-,-,-,-,-
128,-,26,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-
127,24,-,-,29,-,-,-,-,34,-,-,-,-,-,-,-,-,-
126,-,-,27,-,30,31,32,33,-,-,-,35,-,-,-,-,-,-
125,23,25,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-
124,-,-,-,28,-,-,-,-,-,-,-,-,35,-,-,-,-,-
123,-,-,26,-,29,-,-,-,33,-,-,-,-,-,-,-,-,-
122,22,24,-,-,-,30,31,32,-,-,34,-,-,-,-,-,-,-
121,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,21,23,25,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-
119,-,-,-,-,-,29,-,-,-,33,-,34,-,35,-,-,-,-
118,-,-,-,26,-,-,30,31,32,-,-,-,-,-,-,-,-,-
117,20,22,24,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-
116,-,-,-,-,-,-,-,-,-,-,33,-,34,-,-,-,-,-
115,19,-,23,25,-,28,-,-,-,-,-,-,-,-,-,-,-,-
114,-,21,-,-,-,-,29,30,31,32,-,-,-,-,35,-,-,-
113,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-
112,18,20,22,24,-,27,-,-,-,-,-,33,-,-,-,-,-,-
111,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,35,-,-
110,17,-,-,-,25,-,28,29,-,-,32,-,-,-,-,-,-,-
109,-,19,21,23,-,-,-,-,30,31,-,-,-,-,-,-,-,-
108,-,-,-,-,-,26,-,-,-,-,-,-,33,-,-,-,35,-
107,16,-,-,-,24,-,27,-,-,-,-,-,-,-,34,-,-,-
106,-,18,20,22,-,-,-,-,-,-,-,32,-,-,-,-,-,35
105,15,-,-,-,-,25,-,28,-,-,-,-,-,-,-,-,-,-
104,-,17,-,-,23,-,-,-,29,30,31,-,-,-,-,-,-,-
103,-,-,19,21,-,-,26,-,-,-,-,-,-,33,-,34,-,-
102,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,-,16,-,-,-,24,-,27,-,-,-,-,-,-,-,-,-,-
100,13,-,18,20,22,-,-,-,28,29,-,31,32,-,33,-,34,34
99,-,15,-,-,-,23,25,-,-,-,30,-,-,32,-,33,-,-
98,-,-,17,19,21,-,-,26,27,-,-,-,31,-,-,-,33,-
97,12,-,-,-,-,-,24,-,-,28,29,30,-,-,32,-,-,33
96,-,14,16,18,20,22,-,25,-,-,-,-,30,31,-,32,32,-
95,11,-,-,-,-,-,23,-,26,27,28,29,-,-,31,-,-,32
94,-,13,15,-,19,21,-,24,-,-,-,-,-,30,-,31,-,-
93,10,-,-,17,-,-,22,-,25,26,27,28,29,-,30,-,31,31
92,-,12,-,-,-,20,-,23,-,-,-,-,-,29,-,30,-,-
91,9,-,14,16,18,-,-,-,24,25,26,27,28,-,29,-,30,30
90,-,11,-,-,-,19,21,-,-,-,-,-,-,28,-,29,-,-
89,-,-,13,15,17,-,-,22,23,-,-,26,27,-,28,-,29,29
88,8,-,-,-,-,-,20,-,-,24,25,-,-,27,-,28,-,-
87,-,10,12,14,16,18,-,21,22,-,-,-,26,-,-,-,28,-
