SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,15-36,15-36,16-36,17-36,18-36,19-36,20-36,21-36,22-36,23-36,25-36,26-36,27-36,29-36,30-36,31-36,33-36,34-36,36,-,-,-,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,-,-,-,24,-,-,28,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-
158,14,-,-,-,17,18,19,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,16,-,-,-,20,-,-,-,25,-,-,29,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-
156,-,-,15,-,-,-,-,-,21,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-
155,-,14,-,-,-,-,-,-,-,22,-,-,26,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,16,17,18,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,13,-,-,15,-,-,-,19,-,-,-,24,-,-,-,-,31,-,-,35,-,-,-,-,-,-,-,-,-,-
151,-,-,14,-,-,-,-,-,20,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,-,-,-,-,-,21,-,-,25,-,-,-,-,32,-,-,36,-,-,-,-,-,-,-,-,-
149,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,-,-,-,22,-,-,26,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-
147,12,-,-,14,15,16,17,18,-,-,-,23,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,-,13,-,-,-,-,-,19,-,-,-,-,-,27,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-
144,-,12,-,-,-,-,-,-,-,20,-,-,-,-,-,28,-,-,-,-,35,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-,-,21,-,-,25,-,-,-,-,32,-,-,36,-,-,-,-,-,-,-,-
142,11,-,-,-,14,15,16,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,-,13,-,-,-,17,-,-,-,22,-,-,26,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-
140,-,-,12,-,-,-,-,-,18,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,-,-,-,-,-,-,19,-,-,23,-,-,27,-,-,-,-,34,-,-,-,-,-,-,-,-,-
138,-,11,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,31,-,-,35,-,-,-,-,-,-,-,-
137,-,-,-,-,13,14,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,10,-,-,12,-,-,15,16,-,-,-,21,-,-,-,-,28,-,-,32,-,-,36,-,-,-,-,-,-,-
135,-,-,11,-,-,-,-,-,17,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,-,-,-,-,-,-,-,18,-,-,22,-,-,-,-,29,-,-,33,-,-,-,-,-,-,-,-,-
133,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,-,-,-,-,-,-,-,-,-,19,-,-,23,-,-,-,-,30,-,-,34,-,-,-,-,-,-,-,-
131,9,-,-,-,12,13,14,-,-,-,-,20,-,-,-,-,27,-,-,-,-,-,35,-,-,-,-,-,-,-
130,-,-,-,11,-,-,-,15,16,-,-,-,-,-,24,-,-,-,-,31,-,-,-,36,-,-,-,-,-,-
129,-,-,10,-,-,-,-,-,-,-,-,-,21,-,-,-,-,28,-,-,32,-,-,-,-,-,-,-,-,-
128,-,9,-,-,-,-,-,-,-,17,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,-,-,-,-,-,-,-,-,-,-,18,-,-,22,-,-,-,-,29,-,-,33,-,-,-,-,-,-,-,-
126,-,-,-,-,11,12,13,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,34,-,-,-,-,-,-,-
125,8,-,-,10,-,-,-,14,-,-,-,19,-,-,23,-,-,-,-,30,-,-,-,35,-,-,-,-,-,-
124,-,-,9,-,-,-,-,-,15,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,36,-,-,-,-,-
123,-,-,-,-,-,-,-,-,-,16,-,-,20,-,-,24,-,-,-,-,31,-,-,-,-,-,-,-,-,-
122,-,8,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,28,-,-,32,-,-,-,-,-,-,-,-
121,-,-,-,-,-,11,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,7,-,-,9,10,-,12,13,-,-,-,18,-,-,-,-,25,-,-,29,-,-,33,-,-,-,-,-,-,-
119,-,-,-,-,-,-,-,-,14,-,-,-,-,-,22,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-
118,-,-,8,-,-,-,-,-,-,15,-,-,19,-,-,-,-,26,-,-,30,-,-,-,35,36,-,-,-,-
117,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,-,-,-,-,-,-,-,-,-,-,16,-,-,20,-,-,-,-,27,-,-,31,-,-,-,-,-,-,-,-
115,-,-,-,-,9,10,11,-,-,-,-,17,-,-,-,-,24,-,-,-,-,-,32,-,-,-,-,-,-,-
114,6,-,-,8,-,-,-,12,-,-,-,-,-,-,21,-,-,-,-,28,-,-,-,33,-,-,-,-,-,-
113,-,-,7,-,-,-,-,-,13,-,-,-,18,-,-,-,-,25,-,-,29,-,-,-,34,35,36,-,-,-
112,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,-,6,-,-,-,-,-,-,-,-,15,-,-,19,-,-,-,-,26,-,-,30,-,-,-,-,-,-,-,-
110,-,-,-,-,8,9,10,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,31,-,-,-,-,-,-,-
109,5,-,-,7,-,-,-,11,-,-,-,16,-,-,20,-,-,-,-,27,-,-,-,32,-,-,-,-,-,-
108,-,-,6,-,-,-,-,-,12,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,33,-,-,36,-,-
107,-,-,-,-,-,-,-,-,-,13,-,-,17,-,-,21,-,-,-,-,28,-,-,-,-,34,35,-,-,-
106,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,29,-,-,-,-,-,-,-,-
105,-,-,-,-,-,-,-,-,-,-,14,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,4,-,-,-,7,8,9,10,-,-,-,15,-,-,-,-,22,-,-,26,-,-,30,-,-,-,-,-,-,-
103,-,-,-,6,-,-,-,-,11,-,-,-,-,-,19,-,-,-,-,-,-,-,-,31,32,-,-,-,36,-
102,-,-,5,-,-,-,-,-,-,12,-,-,16,-,-,-,-,23,-,-,27,-,-,-,-,33,34,35,-,36
101,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,-,-,-,-,-,-,-,-,-,-,13,-,-,17,-,-,21,-,24,-,-,28,29,-,-,-,-,-,-,-
99,-,-,-,-,-,7,8,-,-,-,-,14,-,-,18,-,-,-,-,25,-,-,-,30,31,32,33,34,35,35
98,-,-,-,-,6,-,-,9,10,-,-,-,15,-,-,19,-,22,-,-,26,27,-,-,-,-,-,-,-,-
