agestrat,rawscore,scale,SS
mo_000,0,PHY,100
mo_000,1,PHY,105
mo_000,2,PHY,111
mo_000,3,PHY,116
mo_000,4,PHY,122
mo_000,5,PHY,127
mo_000,6,PHY,132
mo_000,7,PHY,138
mo_000,8,PHY,143
mo_000,9,PHY,149
mo_000,10,PHY,154
mo_000,11,PHY,160
mo_000,12,PHY,160
mo_000,13,PHY,160
mo_000,14,PHY,160
mo_000,15,PHY,160
mo_000,16,PHY,160
mo_000,17,PHY,160
mo_000,18,PHY,160
mo_000,19,PHY,160
mo_000,20,PHY,160
mo_000,21,PHY,160
mo_000,22,PHY,160
mo_000,23,PHY,160
mo_000,24,PHY,160
mo_000,25,PHY,160
mo_000,26,PHY,160
mo_000,27,PHY,160
mo_000,28,PHY,160
mo_000,29,PHY,160
mo_000,30,PHY,160
mo_000,31,PHY,160
mo_000,32,PHY,160
mo_000,33,PHY,160
mo_000,34,PHY,160
mo_000,35,PHY,160
mo_000,36,PHY,160
mo_000,37,PHY,160
mo_000,38,PHY,NA
mo_000,39,PHY,NA
mo_000,40,PHY,NA
mo_000,41,PHY,NA
mo_000,42,PHY,NA
mo_000,0,ADP,88
mo_000,1,ADP,96
mo_000,2,ADP,103
mo_000,3,ADP,107
mo_000,4,ADP,110
mo_000,5,ADP,115
mo_000,6,ADP,121
mo_000,7,ADP,126
mo_000,8,ADP,131
mo_000,9,ADP,137
mo_000,10,ADP,142
mo_000,11,ADP,147
mo_000,12,ADP,153
mo_000,13,ADP,158
mo_000,14,ADP,160
mo_000,15,ADP,160
mo_000,16,ADP,160
mo_000,17,ADP,160
mo_000,18,ADP,160
mo_000,19,ADP,160
mo_000,20,ADP,160
mo_000,21,ADP,160
mo_000,22,ADP,160
mo_000,23,ADP,160
mo_000,24,ADP,160
mo_000,25,ADP,160
mo_000,26,ADP,160
mo_000,27,ADP,160
mo_000,28,ADP,160
mo_000,29,ADP,160
mo_000,30,ADP,160
mo_000,31,ADP,160
mo_000,32,ADP,160
mo_000,33,ADP,160
mo_000,34,ADP,160
mo_000,35,ADP,160
mo_000,36,ADP,160
mo_000,37,ADP,160
mo_000,38,ADP,160
mo_000,39,ADP,160
mo_000,40,ADP,160
mo_000,41,ADP,160
mo_000,42,ADP,NA
mo_000,0,SOC,77
mo_000,1,SOC,86
mo_000,2,SOC,94
mo_000,3,SOC,100
mo_000,4,SOC,106
mo_000,5,SOC,109
mo_000,6,SOC,114
mo_000,7,SOC,120
mo_000,8,SOC,125
mo_000,9,SOC,130
mo_000,10,SOC,136
mo_000,11,SOC,141
mo_000,12,SOC,147
mo_000,13,SOC,152
mo_000,14,SOC,157
mo_000,15,SOC,160
mo_000,16,SOC,160
mo_000,17,SOC,160
mo_000,18,SOC,160
mo_000,19,SOC,160
mo_000,20,SOC,160
mo_000,21,SOC,160
mo_000,22,SOC,160
mo_000,23,SOC,160
mo_000,24,SOC,160
mo_000,25,SOC,160
mo_000,26,SOC,160
mo_000,27,SOC,160
mo_000,28,SOC,160
mo_000,29,SOC,160
mo_000,30,SOC,160
mo_000,31,SOC,160
mo_000,32,SOC,160
mo_000,33,SOC,160
mo_000,34,SOC,160
mo_000,35,SOC,160
mo_000,36,SOC,160
mo_000,37,SOC,NA
mo_000,38,SOC,NA
mo_000,39,SOC,NA
mo_000,40,SOC,NA
mo_000,41,SOC,NA
mo_000,42,SOC,NA
mo_000,0,COG,87
mo_000,1,COG,96
mo_000,2,COG,103
mo_000,3,COG,107
mo_000,4,COG,113
mo_000,5,COG,116
mo_000,6,COG,121
mo_000,7,COG,125
mo_000,8,COG,129
mo_000,9,COG,133
mo_000,10,COG,138
mo_000,11,COG,144
mo_000,12,COG,149
mo_000,13,COG,155
mo_000,14,COG,160
mo_000,15,COG,160
mo_000,16,COG,160
mo_000,17,COG,160
mo_000,18,COG,160
mo_000,19,COG,160
mo_000,20,COG,160
mo_000,21,COG,160
mo_000,22,COG,160
mo_000,23,COG,160
mo_000,24,COG,160
mo_000,25,COG,160
mo_000,26,COG,160
mo_000,27,COG,160
mo_000,28,COG,160
mo_000,29,COG,160
mo_000,30,COG,160
mo_000,31,COG,160
mo_000,32,COG,160
mo_000,33,COG,160
mo_000,34,COG,160
mo_000,35,COG,160
mo_000,36,COG,160
mo_000,37,COG,160
mo_000,38,COG,160
mo_000,39,COG,160
mo_000,40,COG,160
mo_000,41,COG,160
mo_000,42,COG,160
mo_000,0,COM,95
mo_000,1,COM,102
mo_000,2,COM,109
mo_000,3,COM,117
mo_000,4,COM,122
mo_000,5,COM,128
mo_000,6,COM,134
mo_000,7,COM,139
mo_000,8,COM,145
mo_000,9,COM,150
mo_000,10,COM,156
mo_000,11,COM,160
mo_000,12,COM,160
mo_000,13,COM,160
mo_000,14,COM,160
mo_000,15,COM,160
mo_000,16,COM,160
mo_000,17,COM,160
mo_000,18,COM,160
mo_000,19,COM,160
mo_000,20,COM,160
mo_000,21,COM,160
mo_000,22,COM,160
mo_000,23,COM,160
mo_000,24,COM,160
mo_000,25,COM,160
mo_000,26,COM,160
mo_000,27,COM,160
mo_000,28,COM,160
mo_000,29,COM,160
mo_000,30,COM,160
mo_000,31,COM,160
mo_000,32,COM,160
mo_000,33,COM,160
mo_000,34,COM,160
mo_000,35,COM,NA
mo_000,36,COM,NA
mo_000,37,COM,NA
mo_000,38,COM,NA
mo_000,39,COM,NA
mo_000,40,COM,NA
mo_000,41,COM,NA
mo_000,42,COM,NA
mo_002,0,PHY,97
mo_002,1,PHY,102
mo_002,2,PHY,108
mo_002,3,PHY,113
mo_002,4,PHY,119
mo_002,5,PHY,124
mo_002,6,PHY,130
mo_002,7,PHY,135
mo_002,8,PHY,141
mo_002,9,PHY,146
mo_002,10,PHY,152
mo_002,11,PHY,157
mo_002,12,PHY,160
mo_002,13,PHY,160
mo_002,14,PHY,160
mo_002,15,PHY,160
mo_002,16,PHY,160
mo_002,17,PHY,160
mo_002,18,PHY,160
mo_002,19,PHY,160
mo_002,20,PHY,160
mo_002,21,PHY,160
mo_002,22,PHY,160
mo_002,23,PHY,160
mo_002,24,PHY,160
mo_002,25,PHY,160
mo_002,26,PHY,160
mo_002,27,PHY,160
mo_002,28,PHY,160
mo_002,29,PHY,160
mo_002,30,PHY,160
mo_002,31,PHY,160
mo_002,32,PHY,160
mo_002,33,PHY,160
mo_002,34,PHY,160
mo_002,35,PHY,160
mo_002,36,PHY,160
mo_002,37,PHY,160
mo_002,38,PHY,NA
mo_002,39,PHY,NA
mo_002,40,PHY,NA
mo_002,41,PHY,NA
mo_002,42,PHY,NA
mo_002,0,ADP,81
mo_002,1,ADP,88
mo_002,2,ADP,95
mo_002,3,ADP,102
mo_002,4,ADP,107
mo_002,5,ADP,112
mo_002,6,ADP,118
mo_002,7,ADP,123
mo_002,8,ADP,128
mo_002,9,ADP,134
mo_002,10,ADP,139
mo_002,11,ADP,144
mo_002,12,ADP,150
mo_002,13,ADP,155
mo_002,14,ADP,160
mo_002,15,ADP,160
mo_002,16,ADP,160
mo_002,17,ADP,160
mo_002,18,ADP,160
mo_002,19,ADP,160
mo_002,20,ADP,160
mo_002,21,ADP,160
mo_002,22,ADP,160
mo_002,23,ADP,160
mo_002,24,ADP,160
mo_002,25,ADP,160
mo_002,26,ADP,160
mo_002,27,ADP,160
mo_002,28,ADP,160
mo_002,29,ADP,160
mo_002,30,ADP,160
mo_002,31,ADP,160
mo_002,32,ADP,160
mo_002,33,ADP,160
mo_002,34,ADP,160
mo_002,35,ADP,160
mo_002,36,ADP,160
mo_002,37,ADP,160
mo_002,38,ADP,160
mo_002,39,ADP,160
mo_002,40,ADP,160
mo_002,41,ADP,160
mo_002,42,ADP,NA
mo_002,0,SOC,69
mo_002,1,SOC,78
mo_002,2,SOC,89
mo_002,3,SOC,97
mo_002,4,SOC,102
mo_002,5,SOC,106
mo_002,6,SOC,111
mo_002,7,SOC,117
mo_002,8,SOC,122
mo_002,9,SOC,127
mo_002,10,SOC,133
mo_002,11,SOC,138
mo_002,12,SOC,144
mo_002,13,SOC,149
mo_002,14,SOC,154
mo_002,15,SOC,160
mo_002,16,SOC,160
mo_002,17,SOC,160
mo_002,18,SOC,160
mo_002,19,SOC,160
mo_002,20,SOC,160
mo_002,21,SOC,160
mo_002,22,SOC,160
mo_002,23,SOC,160
mo_002,24,SOC,160
mo_002,25,SOC,160
mo_002,26,SOC,160
mo_002,27,SOC,160
mo_002,28,SOC,160
mo_002,29,SOC,160
mo_002,30,SOC,160
mo_002,31,SOC,160
mo_002,32,SOC,160
mo_002,33,SOC,160
mo_002,34,SOC,160
mo_002,35,SOC,160
mo_002,36,SOC,160
mo_002,37,SOC,NA
mo_002,38,SOC,NA
mo_002,39,SOC,NA
mo_002,40,SOC,NA
mo_002,41,SOC,NA
mo_002,42,SOC,NA
mo_002,0,COG,81
mo_002,1,COG,88
mo_002,2,COG,96
mo_002,3,COG,101
mo_002,4,COG,106
mo_002,5,COG,109
mo_002,6,COG,114
mo_002,7,COG,119
mo_002,8,COG,124
mo_002,9,COG,130
mo_002,10,COG,135
mo_002,11,COG,140
mo_002,12,COG,146
mo_002,13,COG,151
mo_002,14,COG,156
mo_002,15,COG,160
mo_002,16,COG,160
mo_002,17,COG,160
mo_002,18,COG,160
mo_002,19,COG,160
mo_002,20,COG,160
mo_002,21,COG,160
mo_002,22,COG,160
mo_002,23,COG,160
mo_002,24,COG,160
mo_002,25,COG,160
mo_002,26,COG,160
mo_002,27,COG,160
mo_002,28,COG,160
mo_002,29,COG,160
mo_002,30,COG,160
mo_002,31,COG,160
mo_002,32,COG,160
mo_002,33,COG,160
mo_002,34,COG,160
mo_002,35,COG,160
mo_002,36,COG,160
mo_002,37,COG,160
mo_002,38,COG,160
mo_002,39,COG,160
mo_002,40,COG,160
mo_002,41,COG,160
mo_002,42,COG,160
mo_002,0,COM,88
mo_002,1,COM,97
mo_002,2,COM,105
mo_002,3,COM,111
mo_002,4,COM,117
mo_002,5,COM,122
mo_002,6,COM,128
mo_002,7,COM,134
mo_002,8,COM,139
mo_002,9,COM,145
mo_002,10,COM,151
mo_002,11,COM,156
mo_002,12,COM,160
mo_002,13,COM,160
mo_002,14,COM,160
mo_002,15,COM,160
mo_002,16,COM,160
mo_002,17,COM,160
mo_002,18,COM,160
mo_002,19,COM,160
mo_002,20,COM,160
mo_002,21,COM,160
mo_002,22,COM,160
mo_002,23,COM,160
mo_002,24,COM,160
mo_002,25,COM,160
mo_002,26,COM,160
mo_002,27,COM,160
mo_002,28,COM,160
mo_002,29,COM,160
mo_002,30,COM,160
mo_002,31,COM,160
mo_002,32,COM,160
mo_002,33,COM,160
mo_002,34,COM,160
mo_002,35,COM,NA
mo_002,36,COM,NA
mo_002,37,COM,NA
mo_002,38,COM,NA
mo_002,39,COM,NA
mo_002,40,COM,NA
mo_002,41,COM,NA
mo_002,42,COM,NA
mo_004,0,PHY,88
mo_004,1,PHY,93
mo_004,2,PHY,98
mo_004,3,PHY,103
mo_004,4,PHY,109
mo_004,5,PHY,115
mo_004,6,PHY,120
mo_004,7,PHY,126
mo_004,8,PHY,131
mo_004,9,PHY,137
mo_004,10,PHY,142
mo_004,11,PHY,148
mo_004,12,PHY,154
mo_004,13,PHY,159
mo_004,14,PHY,160
mo_004,15,PHY,160
mo_004,16,PHY,160
mo_004,17,PHY,160
mo_004,18,PHY,160
mo_004,19,PHY,160
mo_004,20,PHY,160
mo_004,21,PHY,160
mo_004,22,PHY,160
mo_004,23,PHY,160
mo_004,24,PHY,160
mo_004,25,PHY,160
mo_004,26,PHY,160
mo_004,27,PHY,160
mo_004,28,PHY,160
mo_004,29,PHY,160
mo_004,30,PHY,160
mo_004,31,PHY,160
mo_004,32,PHY,160
mo_004,33,PHY,160
mo_004,34,PHY,160
mo_004,35,PHY,160
mo_004,36,PHY,160
mo_004,37,PHY,160
mo_004,38,PHY,NA
mo_004,39,PHY,NA
mo_004,40,PHY,NA
mo_004,41,PHY,NA
mo_004,42,PHY,NA
mo_004,0,ADP,77
mo_004,1,ADP,84
mo_004,2,ADP,91
mo_004,3,ADP,97
mo_004,4,ADP,103
mo_004,5,ADP,109
mo_004,6,ADP,114
mo_004,7,ADP,119
mo_004,8,ADP,125
mo_004,9,ADP,130
mo_004,10,ADP,135
mo_004,11,ADP,141
mo_004,12,ADP,146
mo_004,13,ADP,151
mo_004,14,ADP,157
mo_004,15,ADP,160
mo_004,16,ADP,160
mo_004,17,ADP,160
mo_004,18,ADP,160
mo_004,19,ADP,160
mo_004,20,ADP,160
mo_004,21,ADP,160
mo_004,22,ADP,160
mo_004,23,ADP,160
mo_004,24,ADP,160
mo_004,25,ADP,160
mo_004,26,ADP,160
mo_004,27,ADP,160
mo_004,28,ADP,160
mo_004,29,ADP,160
mo_004,30,ADP,160
mo_004,31,ADP,160
mo_004,32,ADP,160
mo_004,33,ADP,160
mo_004,34,ADP,160
mo_004,35,ADP,160
mo_004,36,ADP,160
mo_004,37,ADP,160
mo_004,38,ADP,160
mo_004,39,ADP,160
mo_004,40,ADP,160
mo_004,41,ADP,160
mo_004,42,ADP,NA
mo_004,0,SOC,65
mo_004,1,SOC,73
mo_004,2,SOC,81
mo_004,3,SOC,88
mo_004,4,SOC,96
mo_004,5,SOC,102
mo_004,6,SOC,108
mo_004,7,SOC,113
mo_004,8,SOC,118
mo_004,9,SOC,124
mo_004,10,SOC,129
mo_004,11,SOC,135
mo_004,12,SOC,140
mo_004,13,SOC,145
mo_004,14,SOC,151
mo_004,15,SOC,156
mo_004,16,SOC,160
mo_004,17,SOC,160
mo_004,18,SOC,160
mo_004,19,SOC,160
mo_004,20,SOC,160
mo_004,21,SOC,160
mo_004,22,SOC,160
mo_004,23,SOC,160
mo_004,24,SOC,160
mo_004,25,SOC,160
mo_004,26,SOC,160
mo_004,27,SOC,160
mo_004,28,SOC,160
mo_004,29,SOC,160
mo_004,30,SOC,160
mo_004,31,SOC,160
mo_004,32,SOC,160
mo_004,33,SOC,160
mo_004,34,SOC,160
mo_004,35,SOC,160
mo_004,36,SOC,160
mo_004,37,SOC,NA
mo_004,38,SOC,NA
mo_004,39,SOC,NA
mo_004,40,SOC,NA
mo_004,41,SOC,NA
mo_004,42,SOC,NA
mo_004,0,COG,74
mo_004,1,COG,81
mo_004,2,COG,88
mo_004,3,COG,95
mo_004,4,COG,102
mo_004,5,COG,107
mo_004,6,COG,112
mo_004,7,COG,118
mo_004,8,COG,123
mo_004,9,COG,128
mo_004,10,COG,134
mo_004,11,COG,139
mo_004,12,COG,144
mo_004,13,COG,150
mo_004,14,COG,155
mo_004,15,COG,160
mo_004,16,COG,160
mo_004,17,COG,160
mo_004,18,COG,160
mo_004,19,COG,160
mo_004,20,COG,160
mo_004,21,COG,160
mo_004,22,COG,160
mo_004,23,COG,160
mo_004,24,COG,160
mo_004,25,COG,160
mo_004,26,COG,160
mo_004,27,COG,160
mo_004,28,COG,160
mo_004,29,COG,160
mo_004,30,COG,160
mo_004,31,COG,160
mo_004,32,COG,160
mo_004,33,COG,160
mo_004,34,COG,160
mo_004,35,COG,160
mo_004,36,COG,160
mo_004,37,COG,160
mo_004,38,COG,160
mo_004,39,COG,160
mo_004,40,COG,160
mo_004,41,COG,160
mo_004,42,COG,160
mo_004,0,COM,81
mo_004,1,COM,90
mo_004,2,COM,96
mo_004,3,COM,101
mo_004,4,COM,107
mo_004,5,COM,113
mo_004,6,COM,119
mo_004,7,COM,124
mo_004,8,COM,130
mo_004,9,COM,136
mo_004,10,COM,142
mo_004,11,COM,147
mo_004,12,COM,153
mo_004,13,COM,159
mo_004,14,COM,160
mo_004,15,COM,160
mo_004,16,COM,160
mo_004,17,COM,160
mo_004,18,COM,160
mo_004,19,COM,160
mo_004,20,COM,160
mo_004,21,COM,160
mo_004,22,COM,160
mo_004,23,COM,160
mo_004,24,COM,160
mo_004,25,COM,160
mo_004,26,COM,160
mo_004,27,COM,160
mo_004,28,COM,160
mo_004,29,COM,160
mo_004,30,COM,160
mo_004,31,COM,160
mo_004,32,COM,160
mo_004,33,COM,160
mo_004,34,COM,160
mo_004,35,COM,NA
mo_004,36,COM,NA
mo_004,37,COM,NA
mo_004,38,COM,NA
mo_004,39,COM,NA
mo_004,40,COM,NA
mo_004,41,COM,NA
mo_004,42,COM,NA
mo_006,0,PHY,74
mo_006,1,PHY,80
mo_006,2,PHY,85
mo_006,3,PHY,94
mo_006,4,PHY,99
mo_006,5,PHY,105
mo_006,6,PHY,110
mo_006,7,PHY,116
mo_006,8,PHY,122
mo_006,9,PHY,127
mo_006,10,PHY,133
mo_006,11,PHY,139
mo_006,12,PHY,144
mo_006,13,PHY,150
mo_006,14,PHY,156
mo_006,15,PHY,160
mo_006,16,PHY,160
mo_006,17,PHY,160
mo_006,18,PHY,160
mo_006,19,PHY,160
mo_006,20,PHY,160
mo_006,21,PHY,160
mo_006,22,PHY,160
mo_006,23,PHY,160
mo_006,24,PHY,160
mo_006,25,PHY,160
mo_006,26,PHY,160
mo_006,27,PHY,160
mo_006,28,PHY,160
mo_006,29,PHY,160
mo_006,30,PHY,160
mo_006,31,PHY,160
mo_006,32,PHY,160
mo_006,33,PHY,160
mo_006,34,PHY,160
mo_006,35,PHY,160
mo_006,36,PHY,160
mo_006,37,PHY,160
mo_006,38,PHY,NA
mo_006,39,PHY,NA
mo_006,40,PHY,NA
mo_006,41,PHY,NA
mo_006,42,PHY,NA
mo_006,0,ADP,73
mo_006,1,ADP,77
mo_006,2,ADP,84
mo_006,3,ADP,92
mo_006,4,ADP,99
mo_006,5,ADP,104
mo_006,6,ADP,109
mo_006,7,ADP,115
mo_006,8,ADP,120
mo_006,9,ADP,125
mo_006,10,ADP,131
mo_006,11,ADP,136
mo_006,12,ADP,141
mo_006,13,ADP,147
mo_006,14,ADP,152
mo_006,15,ADP,157
mo_006,16,ADP,160
mo_006,17,ADP,160
mo_006,18,ADP,160
mo_006,19,ADP,160
mo_006,20,ADP,160
mo_006,21,ADP,160
mo_006,22,ADP,160
mo_006,23,ADP,160
mo_006,24,ADP,160
mo_006,25,ADP,160
mo_006,26,ADP,160
mo_006,27,ADP,160
mo_006,28,ADP,160
mo_006,29,ADP,160
mo_006,30,ADP,160
mo_006,31,ADP,160
mo_006,32,ADP,160
mo_006,33,ADP,160
mo_006,34,ADP,160
mo_006,35,ADP,160
mo_006,36,ADP,160
mo_006,37,ADP,160
mo_006,38,ADP,160
mo_006,39,ADP,160
mo_006,40,ADP,160
mo_006,41,ADP,160
mo_006,42,ADP,NA
mo_006,0,SOC,61
mo_006,1,SOC,68
mo_006,2,SOC,75
mo_006,3,SOC,82
mo_006,4,SOC,90
mo_006,5,SOC,96
mo_006,6,SOC,103
mo_006,7,SOC,109
mo_006,8,SOC,114
mo_006,9,SOC,120
mo_006,10,SOC,125
mo_006,11,SOC,130
mo_006,12,SOC,136
mo_006,13,SOC,141
mo_006,14,SOC,147
mo_006,15,SOC,152
mo_006,16,SOC,157
mo_006,17,SOC,160
mo_006,18,SOC,160
mo_006,19,SOC,160
mo_006,20,SOC,160
mo_006,21,SOC,160
mo_006,22,SOC,160
mo_006,23,SOC,160
mo_006,24,SOC,160
mo_006,25,SOC,160
mo_006,26,SOC,160
mo_006,27,SOC,160
mo_006,28,SOC,160
mo_006,29,SOC,160
mo_006,30,SOC,160
mo_006,31,SOC,160
mo_006,32,SOC,160
mo_006,33,SOC,160
mo_006,34,SOC,160
mo_006,35,SOC,160
mo_006,36,SOC,160
mo_006,37,SOC,NA
mo_006,38,SOC,NA
mo_006,39,SOC,NA
mo_006,40,SOC,NA
mo_006,41,SOC,NA
mo_006,42,SOC,NA
mo_006,0,COG,68
mo_006,1,COG,75
mo_006,2,COG,84
mo_006,3,COG,92
mo_006,4,COG,99
mo_006,5,COG,104
mo_006,6,COG,110
mo_006,7,COG,115
mo_006,8,COG,120
mo_006,9,COG,126
mo_006,10,COG,131
mo_006,11,COG,137
mo_006,12,COG,142
mo_006,13,COG,147
mo_006,14,COG,153
mo_006,15,COG,158
mo_006,16,COG,160
mo_006,17,COG,160
mo_006,18,COG,160
mo_006,19,COG,160
mo_006,20,COG,160
mo_006,21,COG,160
mo_006,22,COG,160
mo_006,23,COG,160
